,year,5,6,7,8,9,10,11,12,1,2,3,4,height
0,1973,2752.298120236409,2785.9549895824725,2832.107706647032,2818.406814616936,2784.920327310909,2717.283486413168,2652.7848750032667,2638.4625294293724,2640.53011596407,2659.9602055395026,2684.458535083185,2719.690793129044,0
1,1973,2746.6829588850974,2780.966944306397,2827.1480972445947,2813.13447436525,2780.5387382218987,2712.7562459366536,2649.566547836693,2634.3116660408778,2636.776086059694,2655.646708885609,2679.2244901023,2714.4530578085214,100
2,1973,2741.0677975337853,2775.9788990303214,2822.188487842157,2807.862134113564,2776.157149132888,2708.22900546014,2646.34822067012,2630.160802652383,2633.0220561553188,2651.3332122317147,2673.990445121415,2709.215322487999,200
3,1973,2735.4526361824733,2770.9908537542456,2817.22887843972,2802.589793861878,2771.7755600438777,2703.7017649836257,2643.1298935035466,2626.009939263889,2629.268026250943,2647.0197155778205,2668.75640014053,2703.977587167477,300
4,1973,2729.837474831161,2766.00280847817,2812.269269037283,2797.3174536101924,2767.393970954867,2699.174524507112,2639.911566336973,2621.8590758753944,2625.513996346567,2642.706218923927,2663.522355159645,2698.7398518469545,400
5,1973,2724.2223134798496,2761.0147632020944,2807.309659634845,2792.0451133585066,2763.0123818658567,2694.6472840305983,2636.6932391704,2617.7082124869,2621.7599664421914,2638.3927222700327,2658.28831017876,2693.502116526432,500
6,1973,2718.6071521285376,2756.0267179260186,2802.350050232408,2786.772773106821,2758.630792776846,2690.120043554084,2633.474912003827,2613.557349098405,2618.005936537816,2634.0792256161385,2653.054265197875,2688.2643812059096,600
7,1973,2712.991990777225,2751.038672649943,2797.390440829971,2781.5004328551354,2754.249203687836,2685.5928030775704,2630.2565848372533,2609.4064857099106,2614.2519066334403,2629.765728962245,2647.82022021699,2683.026645885388,700
8,1973,2707.376829425914,2746.0506273738674,2792.4308314275336,2776.2280926034496,2749.8676145988256,2681.0655626010566,2627.03825767068,2605.255622321416,2610.4978767290645,2625.45223230835,2642.586175236105,2677.788910564865,800
9,1973,2701.761668074602,2741.062582097792,2787.4712220250963,2770.955752351764,2745.486025509815,2676.5383221245424,2623.8199305041067,2601.1047589329214,2606.743846824689,2621.1387356544565,2637.35213025522,2672.551175244342,900
10,1973,2696.14650672329,2736.074536821716,2782.511612622659,2765.683412100078,2741.1044364208046,2672.0110816480287,2620.6016033375336,2596.953895544427,2602.9898169203134,2616.8252390005628,2632.118085274335,2667.31343992382,1000
11,1973,2690.5313453719777,2731.08649154564,2777.5520032202216,2760.411071848392,2736.722847331794,2667.483841171515,2617.38327617096,2592.803032155932,2599.2357870159376,2612.5117423466686,2626.8840402934497,2662.075704603298,1100
12,1973,2684.916184020666,2726.0984462695646,2772.5923938177843,2755.1387315967063,2732.341258242784,2662.956600695001,2614.164949004387,2588.6521687674376,2595.481757111562,2608.1982456927744,2621.649995312565,2656.837969282776,1200
13,1973,2679.301022669354,2721.110400993489,2767.632784415347,2749.8663913450205,2727.959669153773,2658.429360218487,2610.9466218378134,2584.501305378943,2591.7277272071865,2603.8847490388807,2616.41595033168,2651.600233962253,1300
14,1973,2673.685861318042,2716.122355717413,2762.6731750129097,2744.5940510933347,2723.5780800647626,2653.9021197419734,2607.7282946712403,2580.3504419904484,2587.9736973028107,2599.5712523849866,2611.1819053507948,2646.362498641731,1400
15,1973,2668.0706999667304,2711.1343104413377,2757.713565610472,2739.321710841649,2719.196490975752,2649.374879265459,2604.509967504667,2576.1995786019543,2584.219667398435,2595.257755731093,2605.94786036991,2641.124763321209,1500
16,1973,2662.4555386154184,2706.146265165262,2752.7539562080347,2734.0493705899635,2714.8149018867416,2644.847638788945,2601.2916403380937,2572.04871521346,2580.46563749406,2590.9442590771987,2600.713815389025,2635.8870280006863,1600
17,1973,2656.8403772641063,2701.158219889186,2747.7943468055973,2728.7770303382777,2710.433312797731,2640.320398312432,2598.073313171521,2567.897851824965,2576.711607589684,2586.6307624233045,2595.47977040814,2630.649292680164,1700
18,1973,2651.2252159127943,2696.1701746131102,2742.83473740316,2723.504690086592,2706.0517237087206,2635.7931578359176,2594.854986004947,2563.7469884364705,2572.957577685308,2582.317265769411,2590.245725427255,2625.4115573596414,1800
19,1973,2645.6100545614827,2691.182129337035,2737.8751280007227,2718.232349834906,2701.67013461971,2631.265917359404,2591.636658838374,2559.596125047976,2569.203547780932,2578.0037691155167,2585.01168044637,2620.1738220391194,1900
20,1973,2639.99489321017,2686.194084060959,2732.9155185982854,2712.96000958322,2697.2885455307,2626.7386768828896,2588.4183316718004,2555.4452616594813,2565.449517876557,2573.6902724616225,2579.7776354654848,2614.936086718597,2000
21,1973,2634.3797318588586,2681.2060387848837,2727.955909195848,2707.6876693315344,2692.906956441689,2622.211436406376,2585.2000045052278,2551.2943982709867,2561.695487972181,2569.376775807729,2574.5435904846,2609.6983513980745,2100
22,1973,2628.764570507547,2676.2179935088075,2722.996299793411,2702.415329079849,2688.5253673526786,2617.684195929862,2581.9816773386538,2547.143534882492,2557.9414580678053,2565.063279153834,2569.309545503715,2604.460616077552,2200
23,1973,2623.149409156235,2671.229948232732,2718.036690390973,2697.1429888281627,2684.1437782636685,2613.156955453348,2578.7633501720807,2542.992671493997,2554.1874281634296,2560.7497824999405,2564.0755005228298,2599.22288075703,2300
24,1973,2617.534247804923,2666.2419029566563,2713.077080988536,2691.870648576477,2679.762189174658,2608.6297149768343,2575.545023005507,2538.841808105503,2550.4333982590542,2556.4362858460468,2558.841455541945,2593.9851454365075,2400
25,1973,2611.919086453611,2661.2538576805805,2708.117471586099,2686.598308324791,2675.3806000856475,2604.102474500321,2572.326695838934,2534.6909447170087,2546.6793683546784,2552.1227891921526,2553.60741056106,2588.747410115985,2500
26,1973,2606.303925102299,2656.2658124045047,2703.1578621836616,2681.3259680731053,2670.999010996637,2599.5752340238064,2569.1083686723605,2530.540081328514,2542.9253384503027,2547.809292538259,2548.373365580175,2583.5096747954626,2600
27,1973,2600.688763750987,2651.2777671284293,2698.1982527812243,2676.0536278214195,2666.6174219076265,2595.0479935472927,2565.8900415057874,2526.3892179400195,2539.171308545928,2543.4957958843647,2543.13932059929,2578.2719394749406,2700
28,1973,2595.073602399675,2646.289721852353,2693.238643378787,2670.781287569734,2662.235832818616,2590.520753070779,2562.671714339214,2522.238354551525,2535.4172786415515,2539.1822992304706,2537.905275618405,2573.034204154418,2800
29,1973,2589.4584410483635,2641.3016765762777,2688.2790339763496,2665.5089473180483,2657.854243729605,2585.9935125942648,2559.4533871726408,2518.0874911630303,2531.663248737176,2534.868802576577,2532.67123063752,2567.796468833896,2900
30,1973,2583.8432796970515,2636.3136313002024,2683.3194245739123,2660.2366070663625,2653.472654640595,2581.466272117751,2556.235060006067,2513.936627774536,2527.9092188328,2530.5553059226827,2527.437185656635,2562.558733513373,3000
31,1973,2578.2281183457394,2631.3255860241266,2678.359815171475,2654.9642668146766,2649.0910655515845,2576.9390316412373,2553.016732839494,2509.785764386041,2524.1551889284246,2526.2418092687885,2522.20314067575,2557.320998192851,3100
32,1973,2572.612956994428,2626.3375407480507,2673.4002057690377,2649.691926562991,2644.709476462574,2572.411791164723,2549.798405672921,2505.6349009975465,2520.401159024049,2521.928312614895,2516.969095694865,2552.0832628723288,3200
