,YEAR,MONTH,ELEM_VAL
0,1961,1,238
1,1961,2,86
2,1961,3,1105
3,1961,4,31
4,1961,5,573
5,1961,6,171
6,1961,7,366
7,1961,8,1380
8,1961,9,597
9,1961,10,314
10,1961,11,943
11,1961,12,125
12,1962,1,215
13,1962,2,489
14,1962,3,0
15,1962,4,56
16,1962,5,198
17,1962,6,562
18,1962,7,321
19,1962,8,300
20,1962,9,520
21,1962,10,462
22,1962,11,457
23,1962,12,732
24,1963,1,1256
25,1963,2,173
26,1963,3,74
27,1963,4,435
28,1963,5,695
29,1963,6,517
30,1963,7,326
31,1963,8,703
32,1963,9,808
33,1963,10,221
34,1963,11,220
35,1963,12,415
36,1964,1,293
37,1964,2,202
38,1964,3,999
39,1964,4,273
40,1964,5,53
41,1964,6,477
42,1964,7,669
43,1964,8,153
44,1964,9,198
45,1964,10,1193
46,1964,11,1677
47,1964,12,693
48,1965,1,172
49,1965,2,750
50,1965,3,70
51,1965,4,398
52,1965,5,100
53,1965,6,542
54,1965,7,263
55,1965,8,311
56,1965,9,1006
57,1965,10,288
58,1965,11,485
59,1965,12,109
60,1966,1,2
61,1966,2,35
62,1966,3,384
63,1966,4,73
64,1966,5,62
65,1966,6,82
66,1966,7,2283
67,1966,8,5
68,1966,9,987
69,1966,10,768
70,1966,11,1171
71,1966,12,667
72,1967,1,1549
73,1967,2,497
74,1967,3,153
75,1967,4,294
76,1967,5,395
77,1967,6,538
78,1967,7,1014
79,1967,8,809
80,1967,9,122
81,1967,10,416
82,1967,11,946
83,1967,12,649
84,1968,1,354
85,1968,2,158
86,1968,3,1028
87,1968,4,152
88,1968,5,72
89,1968,6,126
90,1968,7,601
91,1968,8,896
92,1968,9,149
93,1968,10,0
94,1968,11,41
95,1968,12,235
96,1969,1,306
97,1969,2,580
98,1969,3,170
99,1969,4,57
100,1969,5,99
101,1969,6,347
102,1969,7,184
103,1969,8,1016
104,1969,9,767
105,1969,10,551
106,1969,11,926
107,1969,12,2068
108,1970,1,127
109,1970,2,556
110,1970,3,1015
111,1970,4,528
112,1970,5,241
113,1970,6,491
114,1970,7,455
115,1970,8,722
116,1970,9,1117
117,1970,10,1044
118,1970,11,1203
119,1970,12,873
120,1971,1,189
121,1971,2,325
122,1971,3,166
123,1971,4,344
124,1971,5,748
125,1971,6,42
126,1971,7,571
127,1971,8,1307
128,1971,9,546
129,1971,10,159
130,1971,11,1473
131,1971,12,160
132,1972,1,257
133,1972,2,652
134,1972,3,751
135,1972,4,166
136,1972,5,305
137,1972,6,887
138,1972,7,306
139,1972,8,1146
140,1972,9,710
141,1972,10,1036
142,1972,11,104
143,1972,12,98
144,1973,1,222
145,1973,2,439
146,1973,3,176
147,1973,4,490
148,1973,5,125
149,1973,6,368
150,1973,7,1029
151,1973,8,209
152,1973,9,821
153,1973,10,416
154,1973,11,137
155,1973,12,1002
156,1974,1,133
157,1974,2,561
158,1974,3,185
159,1974,4,45
160,1974,5,28
161,1974,6,9
162,1974,7,319
163,1974,8,391
164,1974,9,360
165,1974,10,944
166,1974,11,149
167,1974,12,265
168,1975,1,47
169,1975,2,76
170,1975,3,340
171,1975,4,767
172,1975,5,237
173,1975,6,438
174,1975,7,1261
175,1975,8,601
176,1975,9,977
177,1975,10,231
178,1975,11,1331
179,1975,12,3284
180,1976,1,288
181,1976,2,289
182,1976,3,199
183,1976,4,1239
184,1976,5,107
185,1976,6,241
186,1976,7,207
187,1976,8,1930
188,1976,9,1370
189,1976,10,136
190,1976,11,90
191,1976,12,283
192,1977,1,173
193,1977,2,23
194,1977,3,123
195,1977,4,382
196,1977,5,149
197,1977,6,1029
198,1977,7,849
199,1977,8,54
200,1977,9,239
201,1977,10,303
202,1977,11,1226
203,1977,12,1539
204,1978,1,506
205,1978,2,11
206,1978,3,149
207,1978,4,332
208,1978,5,189
209,1978,6,873
210,1978,7,666
211,1978,8,1169
212,1978,9,366
213,1978,10,1586
214,1978,11,541
215,1978,12,157
216,1979,1,617
217,1979,2,131
218,1979,3,480
219,1979,4,376
220,1979,5,427
221,1979,6,888
222,1979,7,489
223,1979,8,138
224,1979,9,680
225,1979,10,2
226,1979,11,99
227,1979,12,857
228,1980,1,237
229,1980,2,47
230,1980,3,257
231,1980,4,1177
232,1980,5,209
233,1980,6,767
234,1980,7,137
235,1980,8,37
236,1980,9,237
237,1980,10,238
238,1980,11,514
239,1980,12,409
240,1981,1,903
241,1981,2,606
242,1981,3,125
243,1981,4,1109
244,1981,5,592
245,1981,6,670
246,1981,7,839
247,1981,8,375
248,1981,9,41
249,1981,10,478
250,1981,11,122
251,1981,12,137
252,1982,1,232
253,1982,2,13
254,1982,3,148
255,1982,4,781
256,1982,5,79
257,1982,6,77
258,1982,7,1205
259,1982,8,624
260,1982,9,410
261,1982,10,237
262,1982,11,276
263,1982,12,485
264,1983,1,417
265,1983,2,1736
266,1983,3,1088
267,1983,4,830
268,1983,5,392
269,1983,6,1341
270,1983,7,1005
271,1983,8,1221
272,1983,9,1022
273,1983,10,586
274,1983,11,643
275,1983,12,216
276,1984,1,785
277,1984,2,80
278,1984,3,589
279,1984,4,194
280,1984,5,1349
281,1984,6,277
282,1984,7,687
283,1984,8,2187
284,1984,9,214
285,1984,10,76
286,1984,11,82
287,1984,12,689
288,1985,1,146
289,1985,2,79
290,1985,3,86
291,1985,4,172
292,1985,5,66
293,1985,6,510
294,1985,7,193
295,1985,8,257
296,1985,9,404
297,1985,10,391
298,1985,11,205
299,1985,12,84
300,1986,1,375
301,1986,2,163
302,1986,3,159
303,1986,4,687
304,1986,5,557
305,1986,6,911
306,1986,7,378
307,1986,8,417
308,1986,9,565
309,1986,10,210
310,1986,11,165
311,1986,12,655
312,1987,1,513
313,1987,2,61
314,1987,3,95
315,1987,4,154
316,1987,5,1606
317,1987,6,399
318,1987,7,871
319,1987,8,434
320,1987,9,194
321,1987,10,1373
322,1987,11,1300
323,1987,12,219
324,1988,1,381
325,1988,2,637
326,1988,3,476
327,1988,4,139
328,1988,5,309
329,1988,6,869
330,1988,7,775
331,1988,8,753
332,1988,9,577
333,1988,10,404
334,1988,11,162
335,1988,12,668
336,1989,1,334
337,1989,2,140
338,1989,3,303
339,1989,4,19
340,1989,5,455
341,1989,6,760
342,1989,7,1289
343,1989,8,493
344,1989,9,2086
345,1989,10,661
346,1989,11,496
347,1989,12,130
348,1990,1,77
349,1990,2,263
350,1990,3,325
351,1990,4,858
352,1990,5,688
353,1990,6,456
354,1990,7,82
355,1990,8,980
356,1990,9,2273
357,1990,10,709
358,1990,11,794
359,1990,12,441
360,1991,1,371
361,1991,2,212
362,1991,3,575
363,1991,4,184
364,1991,5,785
365,1991,6,132
366,1991,7,237
367,1991,8,710
368,1991,9,441
369,1991,10,1420
370,1991,11,544
371,1991,12,297
372,1992,1,934
373,1992,2,108
374,1992,3,1219
375,1992,4,487
376,1992,5,227
377,1992,6,875
378,1992,7,2
379,1992,8,133
380,1992,9,829
381,1992,10,1431
382,1992,11,546
383,1992,12,93
384,1993,1,292
385,1993,2,2626
386,1993,3,396
387,1993,4,621
388,1993,5,245
389,1993,6,175
390,1993,7,647
391,1993,8,1335
