,year,month,cloud_mean(index)
0,1958,1,4.260869565
1,1958,2,3.266009852
2,1958,3,4.981308411
3,1958,4,5.716666667
4,1958,5,4.117117117
5,1958,6,5.168367347
6,1958,7,4.46835443
7,1958,8,5.711934156
8,1958,9,5.488479263
9,1958,10,5.060606061
10,1958,11,4.698924731
11,1958,12,3.903669725
12,1959,1,3.103896104
13,1959,2,4.535519126
14,1959,3,5.251428571
15,1959,4,2.650655022
16,1959,5,4.543778802
17,1959,6,4.028169014
18,1959,7,3.673076923
19,1959,8,5.459915612
20,1959,9,6.03255814
21,1959,10,6.45177665
22,1959,11,4.09478673
23,1959,12,4.534653465
24,1960,1,4.717821782
25,1960,2,3.718085106
26,1960,3,5.195454545
27,1960,4,4.959459459
28,1960,5,4.053811659
29,1960,6,4.203125
30,1960,7,4.441964286
31,1960,8,4.187772926
32,1960,9,5.748917749
33,1960,10,4.016528926
34,1960,11,5.52360515
35,1960,12,5.435233161
36,1961,1,6.013333333
37,1961,2,4.32972973
38,1961,3,4.50660793
39,1961,4,3.381578947
40,1961,5,5.533632287
41,1961,6,5.659388646
42,1961,7,3.545064378
43,1961,8,5.785714286
44,1961,9,5.630136986
45,1961,10,5.584158416
46,1961,11,5.341121495
47,1961,12,3.208144796
48,1962,1,5.052884615
49,1962,2,4.93
50,1962,3,3.004115226
51,1962,4,4.49787234
52,1962,5,4.389380531
53,1962,6,4.962790698
54,1962,7,4.506550218
55,1962,8,5.333333333
56,1962,9,4.330472103
57,1962,10,4.289795918
58,1962,11,4.196347032
59,1962,12,4.574561404
60,1963,1,3.696356275
61,1963,2,3.351351351
62,1963,3,5.049107143
63,1963,4,4.302222222
64,1963,5,6.267942584
65,1963,6,5.114285714
66,1963,7,5.330396476
67,1963,8,4.672897196
68,1963,9,5.273170732
69,1963,10,6.060185185
70,1963,11,4.211206897
71,1963,12,4.716157205
72,1964,1,4.991561181
73,1964,2,5.437788018
74,1964,3,5.554112554
75,1964,4,4.13304721
76,1964,5,5.193133047
77,1964,6,4.130841121
78,1964,7,4.776699029
79,1964,8,5.271551724
80,1964,9,4.25862069
81,1964,10,5.641025641
82,1964,11,5.396396396
83,1964,12,4.716216216
84,1965,1,4.465811966
85,1965,2,4.606334842
86,1965,3,4.376518219
87,1965,4,6.36744186
88,1965,5,3.799126638
89,1965,6,6.047393365
90,1965,7,4.897435897
91,1965,8,6.028037383
92,1965,9,4.459574468
93,1965,10,6.303571429
94,1965,11,2.658227848
95,1965,12,3.647302905
96,1966,1,3.207048458
97,1966,2,3.871428571
98,1966,3,4.630901288
99,1966,4,5.182692308
100,1966,5,3.958115183
101,1966,6,3.930107527
102,1966,7,5.046948357
103,1966,8,4.118942731
104,1966,9,3.700854701
105,1966,10,3.670940171
106,1966,11,4.733905579
107,1966,12,4.412621359
108,1967,1,3.732510288
109,1967,2,5.256157635
110,1967,3,2.930041152
111,1967,4,4.111627907
112,1967,5,3.740088106
113,1967,6,4.533018868
114,1967,7,3.482051282
115,1967,8,4.870813397
116,1967,9,4.830434783
117,1967,10,4.468619247
118,1967,11,4.42081448
119,1967,12,4.573991031
120,1968,1,4.042918455
121,1968,2,4.197368421
122,1968,3,3.768907563
123,1968,4,4.672566372
124,1968,5,4.008849558
125,1968,6,4.112195122
126,1968,7,3.495412844
127,1968,8,4.092511013
128,1968,9,5.642201835
129,1968,10,3.417721519
130,1968,11,5.445454545
131,1968,12,3.708154506
132,1969,1,3.506437768
133,1969,2,3.415525114
134,1969,3,3.318777293
135,1969,4,4.661458333
136,1969,5,4.357843137
137,1969,6,6.613065327
138,1969,7,5.349775785
139,1969,8,6.3125
140,1969,9,4.64
141,1969,10,3.905579399
142,1969,11,3.911111111
143,1969,12,4.844339623
144,1970,1,5.955665025
145,1970,2,4.135
146,1970,3,4.303797468
147,1970,4,4.945
148,1970,5,6.110132159
149,1970,6,3.686440678
150,1970,7,4.234782609
151,1970,8,4.352173913
152,1970,9,3.900900901
153,1970,10,4.673640167
154,1970,11,4.366812227
155,1970,12,4.293859649
156,1971,1,3.921658986
157,1971,2,5.264705882
158,1971,3,4.906779661
159,1971,4,4.027149321
160,1971,5,5.92
161,1971,6,4.654545455
162,1971,7,4.049327354
163,1971,8,4.026086957
164,1971,9,4.045454545
165,1971,10,4.625
166,1971,11,3.977973568
167,1971,12,5.792270531
168,1972,1,6.155339806
169,1972,2,5.599078341
170,1972,3,4.95215311
171,1972,4,4.433789954
172,1972,5,5.899470899
173,1972,6,6.463917526
174,1972,7,4.934210526
175,1972,8,5.168141593
176,1972,9,4.688888889
177,1972,10,4.674107143
178,1972,11,4.599056604
179,1972,12,4.936651584
180,1973,1,5.732673267
181,1973,2,4.276497696
182,1973,3,4.439613527
183,1973,4,3.744680851
184,1973,5,4.79047619
185,1973,6,5.804545455
186,1973,7,4.419811321
187,1973,8,4.205020921
188,1973,9,4.783185841
189,1973,10,4.036885246
190,1973,11,3.095833333
191,1973,12,4.05
192,1974,1,5.953367876
193,1974,2,4.231884058
194,1974,3,4.696832579
195,1974,4,3.851528384
196,1974,5,4.439461883
197,1974,6,5.03
198,1974,7,4.190909091
199,1974,8,4.727272727
200,1974,9,4.748917749
201,1974,10,4.60619469
202,1974,11,5.848623853
203,1974,12,4.560344828
