,0,1,2
0,1958,1,447
1,1958,2,384
2,1958,3,233
3,1958,4,402
4,1958,5,0
5,1958,6,292
6,1958,7,2
7,1958,8,831
8,1958,9,384
9,1958,10,373
10,1958,11,508
11,1958,12,110
12,1959,1,92
13,1959,2,397
14,1959,3,889
15,1959,4,236
16,1959,5,19
17,1959,6,14
18,1959,7,32
19,1959,8,488
20,1959,9,1784
21,1959,10,930
22,1959,11,385
23,1959,12,1092
24,1960,1,449
25,1960,2,261
26,1960,3,370
27,1960,4,637
28,1960,5,187
29,1960,6,34
30,1960,7,431
31,1960,8,153
32,1960,9,419
33,1960,10,32
34,1960,11,291
35,1960,12,746
36,1961,1,614
37,1961,2,614
38,1961,3,301
39,1961,4,34
40,1961,5,56
41,1961,6,503
42,1961,7,123
43,1961,8,1157
44,1961,9,350
45,1961,10,1769
46,1961,11,463
47,1961,12,600
48,1962,1,741
49,1962,2,406
50,1962,3,148
51,1962,4,93
52,1962,5,233
53,1962,6,49
54,1962,7,372
55,1962,8,530
56,1962,9,204
57,1962,10,243
58,1962,11,781
59,1962,12,311
60,1963,1,54
61,1963,2,105
62,1963,3,538
63,1963,4,428
64,1963,5,609
65,1963,6,304
66,1963,7,364
67,1963,8,333
68,1963,9,946
69,1963,10,1100
70,1963,11,140
71,1963,12,356
72,1964,1,380
73,1964,2,224
74,1964,3,575
75,1964,4,96
76,1964,5,394
77,1964,6,103
78,1964,7,133
79,1964,8,150
80,1964,9,55
81,1964,10,715
82,1964,11,336
83,1964,12,222
84,1965,1,220
85,1965,2,8
86,1965,3,47
87,1965,4,335
88,1965,5,5
89,1965,6,61
90,1965,7,80
91,1965,8,1168
92,1965,9,181
93,1965,10,839
94,1965,11,157
95,1965,12,432
96,1966,1,224
97,1966,2,129
98,1966,3,592
99,1966,4,310
100,1966,5,240
101,1966,6,242
102,1966,7,322
103,1966,8,68
104,1966,9,42
105,1966,10,317
106,1966,11,156
107,1966,12,980
108,1967,1,177
109,1967,2,1189
110,1967,3,166
111,1967,4,476
112,1967,5,238
113,1967,6,27
114,1967,7,137
115,1967,8,969
116,1967,9,745
117,1967,10,682
118,1967,11,1085
119,1967,12,329
120,1968,1,703
121,1968,2,223
122,1968,3,297
123,1968,4,819
124,1968,5,203
125,1968,6,395
126,1968,7,104
127,1968,8,479
128,1968,9,850
129,1968,10,118
130,1968,11,810
131,1968,12,663
132,1969,1,1052
133,1969,2,408
134,1969,3,926
135,1969,4,588
136,1969,5,50
137,1969,6,925
138,1969,7,519
139,1969,8,2061
140,1969,9,743
141,1969,10,162
142,1969,11,329
143,1969,12,954
144,1970,1,1480
145,1970,2,296
146,1970,3,339
147,1970,4,666
148,1970,5,1338
149,1970,6,569
150,1970,7,1750
151,1970,8,193
152,1970,9,1519
153,1970,10,724
154,1970,11,483
155,1970,12,471
156,1971,1,668
157,1971,2,1995
158,1971,3,525
159,1971,4,537
160,1971,5,748
161,1971,6,252
162,1971,7,189
163,1971,8,381
164,1971,9,413
165,1971,10,808
166,1971,11,261
167,1971,12,1614
168,1972,1,1848
169,1972,2,699
170,1972,3,1482
171,1972,4,400
172,1972,5,149
173,1972,6,738
174,1972,7,1540
175,1972,8,475
176,1972,9,170
177,1972,10,1023
178,1972,11,994
179,1972,12,704
180,1973,1,1232
181,1973,2,245
182,1973,3,1320
183,1973,4,113
184,1973,5,755
185,1973,6,810
186,1973,7,649
187,1973,8,604
188,1973,9,1572
189,1973,10,237
190,1973,11,29
191,1973,12,301
192,1974,1,2012
193,1974,2,585
194,1974,3,1165
195,1974,4,417
196,1974,5,499
197,1974,6,791
198,1974,7,188
199,1974,8,1118
200,1974,9,914
201,1974,10,1206
202,1974,11,1486
203,1974,12,914
204,1975,1,223
205,1975,2,779
206,1975,3,268
207,1975,4,253
208,1975,5,155
209,1975,6,18
210,1975,7,542
211,1975,8,715
212,1975,9,66
213,1975,10,204
214,1975,11,1510
215,1975,12,223
216,1976,1,1258
217,1976,2,1189
218,1976,3,2033
219,1976,4,476
220,1976,5,1010
221,1976,6,303
222,1976,7,128
223,1976,8,708
224,1976,9,243
225,1976,10,5078
226,1976,11,581
227,1976,12,493
228,1977,1,347
229,1977,2,476
230,1977,3,335
231,1977,4,25
232,1977,5,109
233,1977,6,452
234,1977,7,248
235,1977,8,7
236,1977,9,1135
237,1977,10,761
238,1977,11,52
239,1977,12,816
240,1978,1,1028
241,1978,2,596
242,1978,3,1532
243,1978,4,216
244,1978,5,1326
245,1978,6,136
246,1978,7,1460
247,1978,8,772
248,1978,9,916
249,1978,10,1598
250,1978,11,708
251,1978,12,442
252,1979,1,743
253,1979,2,625
254,1979,3,208
255,1979,4,165
256,1979,5,3
257,1979,6,458
258,1979,7,546
259,1979,8,552
260,1979,9,157
261,1979,10,1105
262,1979,11,1005
263,1979,12,1331
264,1980,1,284
265,1980,2,474
266,1980,3,1258
267,1980,4,955
268,1980,5,200
269,1980,6,325
270,1980,7,60
271,1980,8,88
272,1980,9,784
273,1980,10,
274,1980,11,180
275,1980,12,337
276,1981,1,201
277,1981,2,492
278,1981,3,176
279,1981,4,307
280,1981,5,257
281,1981,6,91
282,1981,8,525
283,1981,9,0
284,1981,10,124
285,1981,11,199
286,1981,12,131
287,1982,1,432
288,1982,2,1793
289,1982,3,1589
290,1982,4,213
291,1982,5,124
292,1982,6,3
293,1982,7,29
294,1982,8,1821
295,1982,9,902
296,1982,10,432
297,1982,11,376
298,1982,12,210
299,1983,1,444
300,1983,2,177
301,1983,3,195
302,1983,4,315
303,1983,5,58
304,1983,6,12
305,1983,7,223
306,1983,8,129
307,1983,9,20
308,1983,10,10
309,1983,11,97
310,1983,12,484
311,1984,1,468
312,1984,2,675
313,1984,3,188
314,1984,4,376
315,1984,5,240
316,1984,6,491
317,1984,7,429
318,1984,8,595
319,1984,9,553
320,1984,10,387
321,1984,11,337
322,1984,12,1197
323,1985,1,119
324,1985,2,565
325,1985,3,279
326,1985,4,91
327,1985,5,122
328,1985,6,42
329,1985,7,193
330,1985,8,10
331,1985,9,70
332,1985,10,171
333,1985,11,475
334,1985,12,19
335,1986,1,63
336,1986,2,314
337,1986,3,776
338,1986,4,160
339,1986,5,87
340,1986,6,124
341,1986,7,292
342,1986,8,322
343,1986,9,88
344,1986,10,627
345,1986,11,144
346,1986,12,170
347,1987,1,157
348,1987,2,283
349,1987,3,263
350,1987,4,266
351,1987,5,59
352,1987,6,7
353,1987,7,246
354,1987,8,15
355,1987,9,481
356,1987,10,462
357,1987,11,336
358,1987,12,173
359,1988,1,273
360,1988,2,272
361,1988,3,192
362,1988,4,1
363,1988,5,284
364,1988,6,275
365,1988,7,397
366,1988,8,197
367,1988,9,596
368,1988,10,182
369,1988,11,126
370,1988,12,66
371,1989,1,180
372,1989,2,155
373,1989,3,139
374,1989,4,260
375,1989,5,312
376,1989,6,175
377,1989,7,557
378,1989,8,429
379,1989,9,203
380,1989,10,199
381,1989,11,162
382,1989,12,177
383,1990,1,277
384,1990,2,162
385,1990,3,104
386,1990,4,101
387,1990,5,36
388,1990,6,457
389,1990,7,194
390,1990,8,927
391,1990,9,628
392,1990,10,68
393,1990,11,302
394,1990,12,233
395,1991,1,130
396,1991,2,326
397,1991,3,306
398,1991,4,99
399,1991,5,106
400,1991,6,340
401,1991,7,50
402,1991,8,385
403,1991,9,1183
404,1991,10,63
405,1991,11,89
406,1991,12,118
407,1992,1,301
408,1992,2,296
409,1992,3,43
410,1992,4,276
411,1992,5,199
412,1992,6,917
413,1992,7,172
414,1992,8,338
415,1992,9,601
416,1992,10,119
417,1992,11,861
418,1992,12,520
419,1993,1,192
420,1993,2,330
421,1993,3,502
422,1993,4,204
423,1993,5,91
424,1993,6,152
425,1993,7,215
426,1993,8,243
427,1993,9,324
428,1993,10,333
429,1993,11,1996
430,1993,12,840
431,1994,1,400
432,1994,2,253
433,1994,3,506
434,1994,4,213
435,1994,5,477
436,1994,6,58
437,1994,7,517
438,1994,8,94
439,1994,9,1293
440,1994,10,288
441,1994,11,326
442,1994,12,690
443,1995,1,610
