,YEAR,MONTH,ELEM_VAL
353,1978,6,191
354,1978,7,73
355,1978,8,19
356,1978,9,14
357,1978,10,163
358,1978,11,134
359,1978,12,12
360,1979,1,176
361,1979,2,196
362,1979,3,314
363,1979,4,20
364,1979,5,6
365,1979,6,46
366,1979,7,283
367,1979,8,371
368,1979,9,134
369,1979,10,230
370,1979,11,348
371,1979,12,122
372,1980,1,186
373,1980,2,46
374,1980,3,405
375,1980,4,151
376,1980,5,111
377,1980,6,22
378,1980,7,4
379,1980,8,208
380,1980,9,222
381,1980,10,17
382,1980,11,37
383,1980,12,82
384,1981,1,12
385,1981,2,194
386,1981,3,22
387,1981,4,196
388,1981,5,31
389,1981,6,18
390,1981,7, 
391,1981,8, 
392,1981,9, 
393,1981,10,0
394,1981,11,49
395,1981,12,12
396,1982,1,36
397,1982,2,108
398,1982,3,564
399,1982,4,87
400,1982,5,58
401,1982,6,13
402,1982,7,143
403,1982,8,262
404,1982,9,76
405,1982,10,178
406,1982,11,55
407,1982,12,23
408,1983,1,315
409,1983,2,136
410,1983,3,260
411,1983,4,73
412,1983,5,22
413,1983,6,59
414,1983,7,400
415,1983,8,299
416,1983,9,88
417,1983,10,9
418,1983,11,34
419,1983,12,33
420,1984,1,167
421,1984,2,220
422,1984,3,197
423,1984,4,168
424,1984,5,132
425,1984,6,2
426,1984,7,300
427,1984,8,374
428,1984,9,144
429,1984,10,60
430,1984,11,187
431,1984,12,356
432,1985,1,73
433,1985,2,314
434,1985,3,119
435,1985,4,6
436,1985,5,59
437,1985,6,6
438,1985,7,253
439,1985,8,7
440,1985,9,40
441,1985,10,90
442,1985,11,121
443,1985,12,30
444,1986,1,158
445,1986,2,51
446,1986,3,213
447,1986,4,63
448,1986,5,46
449,1986,6,20
450,1986,7,498
451,1986,8,25
452,1986,9,163
453,1986,10,197
454,1986,11,38
455,1986,12,355
456,1987,1,70
457,1987,2,222
458,1987,3,141
459,1987,4,239
460,1987,5,4
461,1987,6,27
462,1987,7,22
463,1987,8,60
464,1987,9,29
465,1987,10,28
466,1987,11,34
467,1987,12,81
468,1988,1,31
469,1988,2,166
470,1988,3,18
471,1988,4,3
472,1988,5,38
473,1988,6,244
474,1988,7,19
475,1988,8,39
476,1988,9,24
477,1988,10,27
478,1988,11,469
479,1988,12,55
480,1989,1,54
481,1989,2,115
482,1989,3,388
483,1989,4,148
484,1989,5,147
485,1989,6,61
486,1989,7,67
487,1989,8,46
488,1989,9,264
489,1989,10,101
490,1989,11,59
491,1989,12,211
492,1990,1,402
493,1990,2,135
494,1990,3,239
495,1990,4,380
496,1990,5,4
497,1990,6,22
498,1990,7,122
499,1990,8,637
500,1990,9,448
501,1990,10,72
502,1990,11,8
503,1990,12,620
504,1991,1,442
505,1991,2,100
506,1991,3,93
507,1991,4,189
508,1991,5,52
509,1991,6,0
510,1991,7,87
511,1991,8,151
512,1991,9,441
513,1991,10,152
514,1991,11,813
515,1991,12,241
516,1992,1,551
517,1992,2,402
518,1992,3,22
519,1992,4,408
520,1992,5,67
521,1992,6,144
522,1992,7,3
523,1992,8,35
524,1992,9,120
525,1992,10,134
526,1992,11,226
527,1992,12,125
528,1993,1,74
529,1993,2,131
530,1993,3,240
531,1993,4,158
532,1993,5,37
533,1993,6,231
534,1993,7,171
535,1993,8,505
536,1993,9,85
537,1993,10,33
538,1993,11,414
539,1993,12,64
540,1994,1,250
541,1994,2,349
542,1994,3,353
543,1994,4,169
544,1994,5,75
545,1994,6,77
546,1994,7,45
547,1994,8,20
548,1994,9,7
549,1994,10,291
550,1994,11,310
551,1994,12,264
552,1995,1,121
553,1995,2,95
554,1995,3,357
555,1995,4,32
556,1995,5,6
557,1995,6,0
558,1995,7,125
559,1995,8,63
560,1995,9,120
561,1995,10,126
562,1995,11,45
563,1995,12,215
564,1996,1,340
565,1996,2,93
566,1996,3,190
567,1996,4,27
568,1996,5,54
569,1996,6,64
570,1996,7,29
571,1996,8,103
572,1996,9,307
573,1996,10,196
574,1996,11,133
575,1996,12,11
576,1997,1,77
577,1997,2,329
578,1997,3,94
579,1997,4,59
580,1997,5,0
581,1997,6,12
582,1997,7,292
583,1997,8,281
584,1997,9,275
585,1997,10,113
586,1997,11,100
587,1997,12,344
588,1998,1,110
589,1998,2,184
590,1998,3,424
591,1998,4,37
592,1998,5,78
593,1998,6,0
594,1998,7,390
595,1998,8,537
596,1998,9,97
597,1998,10,202
598,1998,11,269
599,1998,12,43
600,1999,1,264
601,1999,2,464
602,1999,3,232
603,1999,4,25
604,1999,5,102
605,1999,6,66
606,1999,7,191
607,1999,8,118
608,1999,9,138
609,1999,10,75
610,1999,11,210
611,1999,12,106
612,2000,1,96
613,2000,2,276
614,2000,3,63
615,2000,4,20
616,2000,5,50
617,2000,6,17
618,2000,7,191
619,2000,8,33
620,2000,9,124
621,2000,10,334
622,2000,11,52
623,2000,12,16
624,2001,1,137
625,2001,2,86
626,2001,3,177
627,2001,4,11
628,2001,5,7
629,2001,6,30
630,2001,7,172
631,2001,8,279
632,2001,9,81
633,2001,10,169
634,2001,11,174
635,2001,12,213
636,2002,1,173
637,2002,2,238
638,2002,3,94
639,2002,4,332
640,2002,5,79
641,2002,6,62
642,2002,7,125
643,2002,8,183
644,2002,9,23
645,2002,10,55
646,2002,11,17
647,2002,12,381
648,2003,1,136
649,2003,2,240
650,2003,3,144
651,2003,4,119
652,2003,5,11
653,2003,6,0
654,2003,7,39
655,2003,8,43
656,2003,9,24
657,2003,10,92
658,2003,11,169
659,2003,12,74
660,2004,1,94
661,2004,2,75
662,2004,3,224
663,2004,4,340
664,2004,5,38
665,2004,6,4
666,2004,7,309
667,2004,8,10
668,2004,9,308
669,2004,10,13
670,2004,11,72
671,2004,12,264
672,2005,1,116
673,2005,2,136
674,2005,3,48
675,2005,4,143
676,2005,5,197
677,2005,6,95
678,2005,7,92
679,2005,8,2
680,2005,9,35
681,2005,10,65
682,2005,11,217
683,2005,12,544
684,2006,1,929
685,2006,2,191
686,2006,3,266
687,2006,4,474
688,2006,5,68
689,2006,6,7
690,2006,7,347
691,2006,8,151
692,2006,9,80
693,2006,10,99
694,2006,11,71
695,2006,12,35
696,2007,1,215
697,2007,2,210
698,2007,3,163
699,2007,4,40
700,2007,5,2
701,2007,6,0
702,2007,7,39
703,2007,8,201
704,2007,9,46
705,2007,10,31
706,2007,11,155
707,2007,12,311
708,2008,1,177
709,2008,2,472
710,2008,3,221
711,2008,4,45
712,2008,5,14
713,2008,6,36
714,2008,7,2
715,2008,8,105
716,2008,9,302
717,2008,10,6
718,2008,11,51
719,2008,12,373
720,2009,1,283
721,2009,2,84
722,2009,3,56
723,2009,4,29
724,2009,5,198
725,2009,6,86
726,2009,7,425
727,2009,8,48
728,2009,9,227
729,2009,10,109
730,2009,11,57
731,2009,12,231
732,2010,1,61
733,2010,2,0
734,2010,3,86
735,2010,4,184
736,2010,5,84
737,2010,6,3
738,2010,7,0
739,2010,8,39
740,2010,9,110
741,2010,10,168
742,2010,11,3
743,2010,12,75
744,2011,1,197
745,2011,2,248
746,2011,3,429
747,2011,4,314
748,2011,5,108
749,2011,6,0
750,2011,7,62
751,2011,8,435
752,2011,9,111
753,2011,10,214
754,2011,11,230
755,2011,12,296
756,2012,1,471
757,2012,2,312
758,2012,3,614
759,2012,4,1
760,2012,5,42
761,2012,6,0
762,2012,7,32
763,2012,8,50
764,2012,9,173
765,2012,10,7
766,2012,11,71
767,2012,12,5
768,2013,1,160
769,2013,2,19
770,2013,3,63
771,2013,4,2
772,2013,5,86
773,2013,6,73
774,2013,7,148
775,2013,8,341
776,2013,9,1192
777,2013,10,42
778,2013,11,37
779,2013,12,357
