,YEAR,MONTH,ELEM_VAL
353,1919,6,77
354,1919,7,58
355,1919,8,64
356,1919,9,71
357,1919,10,71
358,1919,11,74
359,1919,12,64
360,1920,1,66
361,1920,2,46
362,1920,3,57
363,1920,4,42
364,1920,5,53
365,1920,6,45
366,1920,7,64
367,1920,8,79
368,1920,9,67
369,1920,10,80
370,1920,11,68
371,1920,12,66
372,1921,1,62
373,1921,2,68
374,1921,3, 
375,1921,4,52
376,1921,5,65
377,1921,6,57
378,1921,7,52
379,1921,8,54
380,1921,9,56
381,1921,10,73
382,1921,11,69
383,1921,12,64
384,1922,1,66
385,1922,2,40
386,1922,3,52
387,1922,4,56
388,1922,5,70
389,1922,6,65
390,1922,7,49
391,1922,8,65
392,1922,9,56
393,1922,10,55
394,1922,11,60
395,1922,12,60
396,1923,1,68
397,1923,2,52
398,1923,3,55
399,1923,4,58
400,1923,5,76
401,1923,6,58
402,1923,7,42
403,1923,8,35
404,1923,9,58
405,1923,10,56
406,1923,11,57
407,1923,12,62
408,1924,1,49
409,1924,2,58
410,1924,3,50
411,1924,4,48
412,1924,5,41
413,1924,6,47
414,1924,7,42
415,1924,8,53
416,1924,9,52
417,1924,10,49
418,1924,11,58
419,1924,12,62
420,1925,1,37
421,1925,2,50
422,1925,3,62
423,1925,4,63
424,1925,5,57
425,1925,6,55
426,1925,7,67
427,1925,8,65
428,1925,9,65
429,1925,10,41
430,1925,11,83
431,1925,12,53
432,1926,1,58
433,1926,2,61
434,1926,3,61
435,1926,4,56
436,1926,5,53
437,1926,6,36
438,1926,7,30
439,1926,8,30
440,1926,9,49
441,1926,10,52
442,1926,11,63
443,1926,12,66
444,1927,1,69
445,1927,2,48
446,1927,3,55
447,1927,4,51
448,1927,5,73
449,1927,6,58
450,1927,7,61
451,1927,8,51
452,1927,9,41
453,1927,10,45
454,1927,11,61
455,1927,12,60
456,1928,1,68
457,1928,2,56
458,1928,3,69
459,1928,4,49
460,1928,5,74
461,1928,6,44
462,1928,7,64
463,1928,8,63
464,1928,9,67
465,1928,10,63
466,1928,11,50
467,1928,12,61
468,1929,1,52
469,1929,2,70
470,1929,3,66
471,1929,4,74
472,1929,5,54
473,1929,6,64
474,1929,7, 
475,1929,8,64
476,1929,9,59
477,1929,10,62
478,1929,11,76
479,1929,12,62
480,1930,1,59
481,1930,2,76
482,1930,3,61
483,1930,4,66
484,1930,5,75
485,1930,6,68
486,1930,7,64
487,1930,8,66
488,1930,9,54
489,1930,10,72
490,1930,11,60
491,1930,12,62
492,1931,1,60
493,1931,2,72
494,1931,3,63
495,1931,4,77
496,1931,5,65
497,1931,6,52
498,1931,7,50
499,1931,8,74
500,1931,9,76
501,1931,10,79
502,1931,11,66
503,1931,12,64
504,1932,1,73
505,1932,2,86
506,1932,3,70
507,1932,4,79
508,1932,5,78
