,year,5,6,7,8,9,10,11,12,1,2,3,4,height
0,1973,100406.28034618664,100576.9015641102,100786.08648498636,100515.60767718028,100594.75859153816,100475.84563649878,100490.2279341235,98743.3967858014,98231.4512283634,99763.17580217878,99369.13358213929,100253.88663645988,0
1,1973,99323.98031075492,99509.8901180089,99736.6779787603,99460.85790172954,99532.90758491712,99385.64343366303,99381.82412799224,97641.12033507747,97137.84839083978,98657.59387177914,98268.38658577677,99162.25819580696,100
2,1973,98241.68027532322,98442.8786719076,98687.26947253424,98406.10812627882,98471.0565782961,98295.44123082732,98273.420321861,96538.84388435354,96044.24555331616,97552.01194137952,97167.63958941423,98070.62975515402,200
3,1973,97159.3802398915,97375.86722580629,97637.8609663082,97351.3583508281,97409.20557167508,97205.2390279916,97165.01651572976,95436.5674336296,94950.64271579254,96446.43001097988,96066.89259305171,96979.0013145011,300
4,1973,96077.0802044598,96308.85577970496,96588.45246008216,96296.60857537737,96347.35456505406,96115.03682515588,96056.61270959851,94334.29098290566,93857.03987826892,95340.84808058024,94966.1455966892,95887.37287384816,400
5,1973,94994.78016902808,95241.84433360364,95539.04395385607,95241.85879992665,95285.50355843305,95024.83462232014,94948.20890346728,93232.01453218173,92763.43704074532,94235.2661501806,93865.39860032668,94795.74443319526,500
6,1973,93912.48013359636,94174.83288750234,94489.63544763003,94187.10902447593,94223.652551812,93934.6324194844,93839.80509733602,92129.73808145778,91669.83420322168,93129.68421978096,92764.65160396414,93704.11599254233,600
7,1973,92830.18009816464,93107.82144140104,93440.226941404,93132.3592490252,93161.80154519096,92844.43021664867,92731.40129120478,91027.46163073384,90576.23136569808,92024.10228938134,91663.90460760162,92612.4875518894,700
8,1973,91747.88006273296,92040.80999529971,92390.81843517792,92077.60947357448,92099.95053856996,91754.22801381294,91622.99748507352,89925.18518000991,89482.62852817446,90918.52035898172,90563.1576112391,91520.85911123648,800
9,1973,90665.58002730124,90973.7985491984,91341.40992895188,91022.85969812374,91038.09953194892,90664.0258109772,90514.59367894228,88822.90872928596,88389.02569065084,89812.93842858207,89462.41061487659,90429.23067058357,900
10,1973,89583.27999186952,89906.7871030971,90292.00142272582,89968.10992267301,89976.24852532792,89573.82360814148,89406.18987281104,87720.63227856203,87295.42285312722,88707.35649818243,88361.66361851405,89337.60222993064,1000
11,1973,88500.9799564378,88839.77565699579,89242.59291649978,88913.36014722228,88914.39751870689,88483.62140530575,88297.7860666798,86618.3558278381,86201.8200156036,87601.7745677828,87260.91662215153,88245.97378927772,1100
12,1973,87418.6799210061,87772.76421089447,88193.18441027372,87858.61037177156,87852.54651208586,87393.41920247002,87189.38226054856,85516.07937711415,85108.21717807998,86496.19263738317,86160.16962578901,87154.34534862479,1200
13,1973,86336.3798855744,86705.75276479316,87143.77590404767,86803.86059632082,86790.69550546483,86303.2169996343,86080.97845441732,84413.80292639021,84014.61434055638,85390.61070698354,85059.4226294265,86062.71690797186,1300
14,1973,85254.07985014268,85638.74131869184,86094.36739782161,85749.1108208701,85728.84449884381,85213.01479679857,84972.57464828607,83311.52647566627,82921.01150303276,84285.0287765839,83958.67563306398,84971.08846731894,1400
15,1973,84171.77981471096,84571.72987259054,85044.95889159557,84694.36104541938,84666.99349222278,84122.81259396284,83864.17084215482,82209.25002494233,81827.40866550914,83179.44684618426,82857.92863670144,83879.46002666603,1500
16,1973,83089.47977927925,83504.71842648923,83995.55038536951,83639.61126996865,83605.14248560177,83032.6103911271,82755.76703602358,81106.9735742184,80733.80582798552,82073.86491578462,81757.18164033892,82787.8315860131,1600
17,1973,82007.17974384755,82437.70698038791,82946.14187914346,82584.86149451793,82543.29147898074,81942.40818829137,81647.36322989233,80004.69712349446,79640.2029904619,80968.282985385,80656.4346439764,81696.20314536017,1700
18,1973,80924.87970841583,81370.6955342866,81896.7333729174,81530.1117190672,81481.44047235971,80852.20598545564,80538.95942376109,78902.42067277052,78546.60015293829,79862.70105498536,79555.68764761389,80604.57470470725,1800
19,1973,79842.57967298411,80303.68408818528,80847.32486669134,80475.36194361647,80419.58946573868,79762.00378261991,79430.55561762984,77800.14422204658,77452.99731541467,78757.11912458573,78454.94065125135,79512.94626405432,1900
20,1973,78760.2796375524,79236.67264208398,79797.9163604653,79420.61216816574,79357.73845911767,78671.8015797842,78322.1518114986,76697.86777132264,76359.39447789105,77651.5371941861,77354.19365488883,78421.3178234014,2000
21,1973,77677.9796021207,78169.66119598267,78748.50785423924,78365.86239271502,78295.88745249664,77581.59937694846,77213.74800536735,75595.5913205987,75265.79164036745,76545.95526378645,76253.44665852631,77329.68938274847,2100
22,1973,76595.67956668898,77102.64974988136,77699.0993480132,77311.1126172643,77234.03644587562,76491.39717411273,76105.3441992361,74493.31486987477,74172.18880284383,75440.37333338681,75152.6996621638,76238.06094209556,2200
23,1973,75513.37953125728,76035.63830378006,76649.69084178715,76256.36284181356,76172.1854392546,75401.194971277,74996.94039310486,73391.03841915083,73078.5859653202,74334.79140298719,74051.95266580128,75146.43250144263,2300
24,1973,74431.07949582556,74968.62685767874,75600.28233556109,75201.61306636284,75110.33443263356,74310.99276844127,73888.53658697361,72288.76196842689,71984.98312779659,73229.20947258755,72951.20566943876,74054.80406078971,2400
25,1973,73348.77946039385,73901.61541157743,74550.87382933503,74146.86329091211,74048.48342601254,73220.79056560554,72780.13278084237,71186.48551770295,70891.38029027297,72123.62754218793,71850.45867307622,72963.17562013678,2500
