,0,1,2
244,1978,5,1642.0
245,1978,6,1795.0
246,1978,7,582.0
247,1978,8,1576.0
248,1978,9,134.0
249,1978,10,1600.0
250,1978,11,1448.0
251,1978,12,2461.0
252,1979,1,1172.0
253,1979,2,1464.0
254,1979,3,1487.0
255,1979,4,610.0
256,1979,5,860.0
257,1979,6,750.0
258,1979,7,845.0
259,1979,8,112.0
260,1979,9,521.0
261,1979,10,1145.0
262,1979,11,647.0
263,1979,12,1844.0
264,1980,1,1702.0
265,1980,2,1135.0
266,1980,3,833.0
267,1980,4,0.0
268,1980,5,1106.0
269,1980,6,831.0
270,1980,7,774.0
271,1980,8,411.0
272,1980,9,1115.0
273,1980,10,772.0
274,1980,11,1898.0
275,1980,12,881.0
276,1981,1,1318.0
277,1981,2,1008.0
278,1981,3,405.0
279,1981,4,2542.0
280,1981,5,863.0
281,1981,6,625.0
282,1981,7,694.0
283,1981,8,1784.0
284,1981,9,182.0
285,1981,10,619.0
286,1981,11,1493.0
287,1981,12,972.0
288,1982,1,585.0
289,1982,2,2257.0
290,1982,3,806.0
291,1982,4,1830.0
292,1982,5,190.0
293,1982,6,709.0
294,1982,7,760.0
295,1982,8,1377.0
296,1982,9,365.0
297,1982,10,1702.0
298,1982,11,898.0
299,1982,12,736.0
300,1983,1,1299.0
301,1983,2,2910.0
302,1983,3,774.0
303,1983,4,983.0
304,1983,5,707.0
305,1983,6,275.0
306,1983,7,1265.0
307,1983,8,1391.0
308,1983,9,667.0
309,1983,10,611.0
310,1983,11,2052.0
311,1983,12,638.0
312,1984,1,1353.0
313,1984,2,1463.0
314,1984,3,1487.0
315,1984,4,1697.0
316,1984,5,1558.0
317,1984,6,1432.0
318,1984,7,2146.0
319,1984,8,1902.0
320,1984,9,1468.0
321,1984,10,1497.0
322,1984,11,1430.0
323,1984,12,1343.0
324,1985,1,1384.0
325,1985,2,2123.0
326,1985,3,684.0
327,1985,4,489.0
328,1985,5,883.0
329,1985,6,153.0
330,1985,7,359.0
331,1985,8,1283.0
332,1985,9,273.0
333,1985,10,903.0
334,1985,11,1743.0
335,1985,12,323.0
336,1986,1,1184.0
337,1986,2,866.0
338,1986,3,1738.0
339,1986,4,1703.0
340,1986,5,299.0
341,1986,6,862.0
342,1986,7,152.0
343,1986,8,1308.0
344,1986,9,1322.0
345,1986,10,1332.0
346,1986,11,846.0
347,1986,12,963.0
348,1987,1,5223.0
349,1987,2,1832.0
350,1987,3,1237.0
351,1987,4,1331.0
352,1987,5,2111.0
353,1987,6,465.0
354,1987,7,1200.0
355,1987,8,53.0
356,1987,9,498.0
357,1987,10,1136.0
358,1987,11,1891.0
359,1987,12,2097.0
360,1988,1,505.0
361,1988,2,531.0
362,1988,3,474.0
363,1988,4,486.0
364,1988,5,1957.0
365,1988,6,808.0
366,1988,7,224.0
367,1988,8,541.0
368,1988,9,681.0
369,1988,10,927.0
370,1988,11,1819.0
371,1988,12,1177.0
372,1989,1,1373.0
373,1989,2,398.0
374,1989,3,850.0
375,1989,4,867.0
376,1989,5,467.0
377,1989,6,485.0
378,1989,7,707.0
379,1989,8,1231.0
380,1989,9,1895.0
381,1989,10,1790.0
382,1989,11,1479.0
383,1989,12,2062.0
384,1990,1,801.0
385,1990,2,1035.0
386,1990,3,776.0
387,1990,4,900.0
388,1990,5,482.0
389,1990,6,479.0
390,1990,7,996.0
391,1990,8,799.0
392,1990,9,1955.0
393,1990,10,1370.0
394,1990,11,2376.0
395,1990,12,1364.0
396,1991,1,1850.0
397,1991,2,1506.0
398,1991,3,1213.0
399,1991,4,310.0
400,1991,5,2676.0
401,1991,6,0.0
402,1991,7,698.0
403,1991,8,1162.0
404,1991,9,758.0
405,1991,10,2079.0
406,1991,11,455.0
407,1991,12,3393.0
408,1992,1,3707.0
409,1992,2,1696.0
410,1992,3,1226.0
411,1992,4,765.0
412,1992,5,1146.0
413,1992,6,883.0
414,1992,7,367.0
415,1992,8,376.0
416,1992,9,1032.0
417,1992,10,1504.0
418,1992,11,1025.0
419,1992,12,959.0
420,1993,1,994.0
421,1993,2,2228.0
422,1993,3,2526.0
423,1993,4,739.0
424,1993,5,439.0
425,1993,6,161.0
426,1993,7,62.0
427,1993,8,1971.0
428,1993,9,1759.0
429,1993,10,1477.0
430,1993,11,2075.0
431,1993,12,751.0
432,1994,1,1043.0
433,1994,2,982.0
434,1994,3,645.0
435,1994,4,567.0
436,1994,5,796.0
437,1994,6,125.0
438,1994,7,260.0
439,1994,8,1978.0
440,1994,9,951.0
441,1994,10,780.0
442,1994,11,784.0
443,1994,12,562.0
444,1995,1,659.0
445,1995,2,288.0
446,1995,3,654.0
447,1995,4,180.0
448,1995,5,488.0
449,1995,6,1180.0
450,1995,7,312.0
451,1995,8,993.0
452,1995,9,1453.0
453,1995,10,539.0
454,1995,11,1315.0
455,1995,12,1702.0
456,1996,1,2489.0
457,1996,2,2048.0
458,1996,3,3104.0
459,1996,4,419.0
460,1996,5,412.0
461,1996,6,370.0
462,1996,7,936.0
463,1996,8,912.0
464,1996,9,3619.0
465,1996,10,442.0
466,1996,11,1052.0
467,1996,12,2219.0
468,1997,1,2322.0
469,1997,2,1218.0
470,1997,3,333.0
471,1997,4,2553.0
472,1997,5,599.0
473,1997,6,51.0
474,1997,7,1068.0
475,1997,8,1234.0
476,1997,9,1821.0
477,1997,10,1346.0
478,1997,11,1130.0
479,1997,12,1667.0
480,1998,1,825.0
481,1998,2,1275.0
482,1998,3,1455.0
483,1998,4,1429.0
484,1998,5,789.0
485,1998,6,57.0
486,1998,7,383.0
487,1998,8,701.0
488,1998,9,351.0
489,1998,10,430.0
490,1998,11,1166.0
491,1998,12,741.0
492,1999,1,1048.0
493,1999,2,1166.0
494,1999,3,198.0
495,1999,4,588.0
496,1999,5,962.0
497,1999,6,1602.0
498,1999,7,61.0
499,1999,8,1748.0
500,1999,9,528.0
501,1999,10,1045.0
502,1999,11,2227.0
503,1999,12,416.0
504,2000,1,2042.0
505,2000,2,688.0
506,2000,3,2751.0
507,2000,4,965.0
508,2000,5,1295.0
509,2000,6,151.0
510,2000,7,567.0
511,2000,8,587.0
512,2000,9,1737.0
513,2000,10,598.0
514,2000,11,524.0
515,2000,12,328.0
516,2001,1,1288.0
517,2001,2,2305.0
518,2001,3,1133.0
519,2001,4,588.0
520,2001,5,595.0
521,2001,6,947.0
522,2001,7,200.0
523,2001,8,292.0
524,2001,9,1457.0
525,2001,10,451.0
526,2001,11,3208.0
527,2001,12,3103.0
528,2002,1,1538.0
529,2002,2,1045.0
530,2002,3,1388.0
531,2002,4,853.0
532,2002,5,732.0
533,2002,6,1164.0
534,2002,7,756.0
535,2002,8,842.0
536,2002,9,2269.0
537,2002,10,1985.0
538,2002,11,1200.0
539,2002,12,1897.0
540,2003,1,1677.0
541,2003,2,1689.0
542,2003,3,2105.0
543,2003,4,1548.0
544,2003,5,1229.0
545,2003,6,210.0
546,2003,7,120.0
547,2003,8,299.0
548,2003,9,425.0
549,2003,10,1355.0
550,2003,11,1166.0
551,2003,12,877.0
552,2004,1,581.0
553,2004,2,1440.0
554,2004,3,2604.0
555,2004,4,574.0
556,2004,5,622.0
557,2004,6,178.0
