,0,1,2
0,1961.0,1.0,133.0
1,1961.0,2.0,40.0
2,1961.0,3.0,74.0
3,1961.0,4.0,44.0
4,1961.0,5.0,593.0
5,1961.0,6.0,53.0
6,1961.0,7.0,302.0
7,1961.0,8.0,288.0
8,1961.0,9.0,431.0
9,1961.0,10.0,346.0
10,1961.0,11.0,68.0
11,1961.0,12.0,125.0
12,1962.0,1.0,63.0
13,1962.0,2.0,138.0
14,1962.0,3.0,20.0
15,1962.0,4.0,35.0
16,1962.0,5.0,97.0
17,1962.0,6.0,60.0
18,1962.0,7.0,317.0
19,1962.0,8.0,339.0
20,1962.0,9.0,394.0
21,1962.0,10.0,217.0
22,1962.0,11.0,260.0
23,1962.0,12.0,74.0
24,1963.0,1.0,227.0
25,1963.0,2.0,17.0
26,1963.0,3.0,46.0
27,1963.0,4.0,53.0
28,1963.0,5.0,111.0
29,1963.0,6.0,217.0
30,1963.0,7.0,183.0
31,1963.0,8.0,80.0
32,1963.0,9.0,409.0
33,1963.0,10.0,105.0
34,1963.0,11.0,199.0
35,1963.0,12.0,75.0
36,1964.0,1.0,214.0
37,1964.0,2.0,238.0
38,1964.0,3.0,20.0
39,1964.0,4.0,116.0
40,1964.0,5.0,20.0
41,1964.0,6.0,449.0
42,1964.0,7.0,543.0
43,1964.0,8.0,236.0
44,1964.0,9.0,126.0
45,1964.0,10.0,282.0
46,1964.0,11.0,32.0
47,1964.0,12.0,189.0
48,1965.0,1.0,76.0
49,1965.0,2.0,186.0
50,1965.0,3.0,198.0
51,1965.0,4.0,33.0
52,1965.0,5.0,113.0
53,1965.0,6.0,283.0
54,1965.0,7.0,144.0
55,1965.0,8.0,171.0
56,1965.0,9.0,93.0
57,1965.0,10.0,122.0
58,1965.0,11.0,95.0
59,1965.0,12.0,70.0
60,1966.0,1.0,64.0
61,1966.0,2.0,12.0
62,1966.0,3.0,75.0
63,1966.0,4.0,124.0
64,1966.0,5.0,58.0
65,1966.0,6.0,32.0
66,1966.0,7.0,788.0
67,1966.0,8.0,0.0
68,1966.0,9.0,239.0
69,1966.0,10.0,240.0
70,1966.0,11.0,377.0
71,1966.0,12.0,136.0
72,1967.0,1.0,110.0
73,1967.0,2.0,144.0
74,1967.0,3.0,35.0
75,1967.0,4.0,104.0
76,1967.0,5.0,114.0
77,1967.0,6.0,458.0
78,1967.0,7.0,235.0
79,1967.0,8.0,448.0
80,1967.0,9.0,1607.0
81,1967.0,10.0,72.0
82,1967.0,11.0,191.0
83,1967.0,12.0,182.0
84,1968.0,1.0,47.0
85,1968.0,2.0,177.0
86,1968.0,3.0,239.0
87,1968.0,4.0,135.0
88,1968.0,5.0,18.0
89,1968.0,6.0,113.0
90,1968.0,7.0,581.0
91,1968.0,8.0,358.0
92,1968.0,9.0,649.0
93,1968.0,10.0,66.0
94,1968.0,11.0,8.0
95,1968.0,12.0,68.0
96,1969.0,1.0,73.0
97,1969.0,2.0,393.0
98,1969.0,3.0,134.0
99,1969.0,4.0,69.0
100,1969.0,5.0,222.0
101,1969.0,6.0,130.0
102,1969.0,7.0,121.0
103,1969.0,8.0,52.0
104,1969.0,9.0,278.0
105,1969.0,10.0,193.0
106,1969.0,11.0,797.0
107,1969.0,12.0,450.0
108,1970.0,1.0,173.0
109,1970.0,2.0,230.0
110,1970.0,3.0,114.0
111,1970.0,4.0,121.0
112,1970.0,5.0,71.0
