,year,month,cloud_mean(index)
0,1961,1,5.102564103
1,1961,2,5.072727273
2,1961,3,3.596638655
3,1961,4,3.461538462
4,1961,5,6.387096774
5,1961,6,3.643478261
6,1961,7,4.991869919
7,1961,8,5.139705882
8,1961,9,5.365714286
9,1961,10,4.87150838
10,1961,11,5.197740113
11,1961,12,4.337016575
12,1962,1,4.396449704
13,1962,2,5.344370861
14,1962,3,3.718918919
15,1962,4,4.915730337
16,1962,5,5.360465116
17,1962,6,3.958333333
18,1962,7,3.95480226
19,1962,8,4.93989071
20,1962,9,6.130681818
21,1962,10,3.912568306
22,1962,11,5.534883721
23,1962,12,4.76
24,1963,1,5.782122905
25,1963,2,3.608695652
26,1963,3,4.735294118
27,1963,4,3.476744186
28,1963,5,5.10982659
29,1963,6,5.225165563
30,1963,7,4.905325444
31,1963,8,5.124324324
32,1963,9,5.976608187
33,1963,10,5.071823204
34,1963,11,4.696629213
35,1963,12,4.966666667
36,1964,1,5.861271676
37,1964,2,6.082278481
38,1964,3,4.372881356
39,1964,4,4.533742331
40,1964,5,5.138888889
41,1964,6,4.707317073
42,1964,7,5.777777778
43,1964,8,4.152173913
44,1964,9,3.458823529
45,1964,10,5.209944751
46,1964,11,4.668539326
47,1964,12,5.738372093
48,1965,1,4.525316456
49,1965,2,5.458064516
50,1965,3,3.94047619
51,1965,4,4.775147929
52,1965,5,3.383233533
53,1965,6,5.096590909
54,1965,7,4.615384615
55,1965,8,4.46961326
56,1965,9,4.491525424
57,1965,10,4.74863388
58,1965,11,2.883040936
59,1965,12,4.287356322
60,1966,1,3.140449438
61,1966,2,3.792682927
62,1966,3,4.63372093
63,1966,4,4.77245509
64,1966,5,4.177777778
65,1966,6,4.809248555
66,1966,7,5.727272727
67,1966,8,2.639097744
68,1966,9,4.845588235
69,1966,10,5.118518519
70,1966,11,6.049586777
71,1966,12,3.211382114
72,1967,1,5.046511628
73,1967,2,4.745098039
74,1967,3,4.555555556
75,1967,4,4.848739496
76,1967,5,3.714285714
77,1967,6,5.518518519
78,1967,7,3.858208955
79,1967,8,4.839160839
80,1967,9,6.214814815
81,1967,10,5.705035971
82,1967,11,5.064516129
83,1967,12,5.412698413
84,1968,1,4.204545455
85,1968,2,4.967213115
86,1968,3,4.891472868
87,1968,4,5.620967742
88,1968,5,4.496296296
89,1968,6,4.798507463
90,1968,7,5.578231293
91,1968,8,5.125
92,1968,9,5.276923077
93,1968,10,4.638888889
94,1968,11,4.460992908
95,1968,12,5.835820896
96,1969,1,4
97,1969,2,5.056451613
98,1969,3,5.014925373
99,1969,4,5.134920635
100,1969,5,5.525179856
101,1969,6,4.265625
102,1969,7,4.693877551
103,1969,8,4.007092199
104,1969,9,6.184397163
105,1969,10,4.98540146
106,1969,11,6.49137931
107,1969,12,4.57480315
108,1970,1,4.437956204
109,1970,2,4.528455285
110,1970,3,4.231884058
111,1970,4,4.654135338
112,1970,5,4.26618705
113,1970,6,5.546099291
114,1970,7,5.360294118
115,1970,8,5.402877698
116,1970,9,4.164285714
117,1970,10,6.034965035
118,1970,11,5.073529412
119,1970,12,4.458015267
120,1971,1,3.562962963
121,1971,2,3.703125
122,1971,3,2.595890411
123,1971,4,4.0546875
124,1971,5,4.889705882
125,1971,6,4.992248062
126,1971,7,4.861313869
127,1971,8,4.576642336
128,1971,9,4.728571429
129,1971,10,3.896551724
130,1971,11,5.896825397
131,1971,12,3.03875969
132,1972,1,5.02919708
133,1972,2,4.518796992
134,1972,3,4.35915493
135,1972,4,3.242647059
136,1972,5,4.671641791
137,1972,6,6.588652482
138,1972,7,5.147286822
139,1972,8,4.957446809
140,1972,9,6.057553957
141,1972,10,5.748201439
142,1972,11,4.827338129
143,1972,12,2.932330827
144,1973,1,4.575539568
145,1973,2,4.632478632
146,1973,3,4.411347518
147,1973,4,6.376
148,1973,5,5.580152672
149,1973,6,4.669117647
150,1973,7,5.377622378
151,1973,8,3.928057554
152,1973,9,5.290076336
153,1973,10,4.020547945
154,1973,11,4.043165468
155,1973,12,4.967741935
156,1974,1,3.461538462
157,1974,2,4.13740458
158,1974,3,4.615384615
159,1974,4,5.097744361
160,1974,5,4.608391608
161,1974,6,4.948905109
162,1974,7,6.00729927
163,1974,8,5.161971831
164,1974,9,3.985714286
165,1974,10,5.602941176
166,1974,11,5.030769231
167,1974,12,3.335820896
