,year,5,6,7,8,9,10,11,12,1,2,3,4,height
0,1983,101018.55887072971,101011.5955145543,99845.14410967876,100162.44253063256,99830.79351939772,100108.84763969573,99255.26595242754,99101.51049158536,98872.44057705675,98995.41157262128,100880.5166715637,100127.2952539283,0
1,1983,99947.67465869,99977.31481036425,98820.79151223664,99132.8199070819,98777.03111036008,99054.44130433096,98184.5051451857,98028.04907212924,97789.56894499186,97920.7053723015,99793.9423764335,99058.9073440403,100
2,1983,98876.79044665028,98943.0341061742,97796.43891479456,98103.19728353123,97723.26870132243,98000.03496896618,97113.74433794386,96954.58765267309,96706.69731292696,96845.99917198172,98707.3680813033,97990.5194341523,200
3,1983,97805.90623461056,97908.75340198414,96772.08631735244,97073.57465998056,96669.50629228482,96945.6286336014,96042.98353070204,95881.12623321694,95623.82568086204,95771.29297166194,97620.7937861731,96922.13152426432,300
4,1983,96735.02202257086,96874.47269779407,95747.73371991032,96043.9520364299,95615.74388324718,95891.22229823664,94972.2227234602,94807.6648137608,94540.95404879712,94696.58677134216,96534.2194910429,95853.74361437632,400
5,1983,95664.13781053116,95840.19199360404,94723.38112246824,95014.32941287922,94561.98147420956,94836.81596287186,93901.46191621837,93734.20339430466,93458.0824167322,93621.88057102235,95447.6451959127,94785.35570448832,500
6,1983,94593.25359849144,94805.91128941398,93699.02852502614,93984.70678932856,93508.2190651719,93782.40962750708,92830.70110897651,92660.74197484853,92375.2107846673,92547.1743707026,94361.0709007825,93716.96779460032,600
7,1983,93522.36938645173,93771.63058522392,92674.67592758404,92955.08416577788,92454.45665613428,92728.00329214233,91759.9403017347,91587.28055539235,91292.3391526024,91472.4681703828,93274.4966056523,92648.57988471232,700
8,1983,92451.485174412,92737.34988103388,91650.32333014192,91925.46154222722,91400.69424709665,91673.59695677756,90689.17949449288,90513.81913593622,90209.46752053748,90397.76197006302,92187.9223105221,91580.19197482432,800
9,1983,91380.60096237228,91703.06917684384,90625.97073269982,90895.83891867654,90346.931838059,90619.19062141277,89618.41868725103,89440.35771648008,89126.59588847257,89323.05576974324,91101.34801539192,90511.80406493632,900
10,1983,90309.71675033256,90668.7884726538,89601.61813525771,89866.21629512588,89293.16942902136,89564.784286048,88547.65788000921,88366.89629702394,88043.72425640766,88248.34956942344,90014.7737202617,89443.41615504833,1000
11,1983,89238.83253829285,89634.50776846374,88577.26553781562,88836.5936715752,88239.40701998373,88510.37795068324,87476.89707276737,87293.4348775678,86960.85262434275,87173.64336910367,88928.1994251315,88375.02824516033,1100
12,1983,88167.94832625313,88600.22706427368,87552.91294037351,87806.97104802454,87185.6446109461,87455.97161531846,86406.13626552554,86219.97345811165,85877.98099227784,86098.93716878389,87841.62513000131,87306.64033527233,1200
13,1983,87097.06411421343,87565.94636008363,86528.5603429314,86777.34842447386,86131.88220190846,86401.56527995369,85335.3754582837,85146.5120386555,84795.10936021293,85024.23096846411,86755.05083487112,86238.25242538433,1300
14,1983,86026.17990217371,86531.66565589358,85504.2077454893,85747.7258009232,85078.11979287083,85347.15894458891,84264.61465104188,84073.05061919936,83712.23772814801,83949.52476814431,85668.4765397409,85169.86451549635,1400
15,1983,84955.295690134,85497.38495170353,84479.8551480472,84718.10317737254,84024.35738383318,84292.75260922415,83193.85384380004,82999.58919974322,82629.3660960831,82874.81856782454,84581.90224461071,84101.47660560835,1500
16,1983,83884.41147809428,84463.10424751347,83455.5025506051,83688.48055382186,82970.59497479555,83238.34627385937,82123.0930365582,81926.12778028706,81546.4944640182,81800.11236750476,83495.32794948052,83033.08869572035,1600
17,1983,82813.52726605456,83428.82354332342,82431.149953163,82658.85793027119,81916.83256575791,82183.9399384946,81052.33222931638,80852.66636083092,80463.62283195328,80725.40616718496,82408.75365435031,81964.70078583235,1700
18,1983,81742.64305401484,82394.54283913337,81406.79735572089,81629.23530672053,80863.07015672028,81129.53360312982,79981.57142207454,79779.20494137477,79380.75119988837,79650.69996686518,81322.17935922011,80896.31287594435,1800
19,1983,80671.75884197513,81360.26213494333,80382.44475827878,80599.61268316986,79809.30774768264,80075.12726776506,78910.8106148327,78705.74352191863,78297.87956782346,78575.9937665454,80235.60506408992,79827.92496605635,1900
20,1983,79600.87462993542,80325.98143075328,79358.09216083668,79569.99005961919,78755.54533864501,79020.72093240029,77840.04980759087,77632.28210246249,77215.00793575855,77501.28756622563,79149.03076895972,78759.53705616835,2000
21,1983,78529.9904178957,79291.70072656323,78333.73956339457,78540.36743606851,77701.78292960738,77966.31459703551,76769.28900034905,76558.82068300634,76132.13630369364,76426.58136590583,78062.45647382952,77691.14914628035,2100
22,1983,77459.10620585599,78257.42002237318,77309.38696595248,77510.74481251785,76648.02052056974,76911.90826167075,75698.52819310721,75485.3592635502,75049.26467162873,75351.87516558605,76975.88217869932,76622.76123639237,2200
23,1983,76388.22199381627,77223.13931818312,76285.03436851037,76481.12218896719,75594.25811153211,75857.50192630597,74627.76738586537,74411.89784409406,73966.39303956382,74277.16896526628,75889.30788356913,75554.37332650437,2300
24,1983,75317.33778177656,76188.85861399307,75260.68177106827,75451.49956541651,74540.49570249446,74803.0955909412,73557.00657862355,73338.43642463791,72883.5214074989,73202.46276494648,74802.73358843892,74485.98541661637,2400
25,1983,74246.45356973684,75154.57790980302,74236.32917362617,74421.87694186585,73486.73329345684,73748.68925557644,72486.24577138171,72264.97500518177,71800.649775434,72127.7565646267,73716.15929330872,73417.59750672837,2500
26,1983,73175.56935769712,74120.29720561297,73211.97657618407,73392.25431831517,72432.97088441919,72694.28292021166,71415.48496413988,71191.51358572562,70717.77814336907,71053.05036430692,72629.58499817853,72349.20959684037,2600
27,1983,72104.68514565741,73086.01650142291,72187.62397874196,72362.63169476451,71379.20847538156,71639.87658484688,70344.72415689804,70118.05216626948,69634.90651130417,69978.34416398715,71543.01070304832,71280.82168695237,2700
28,1983,71033.80093361769,72051.73579723286,71163.27138129986,71333.00907121383,70325.44606634392,70585.47024948211,69273.96334965622,69044.59074681334,68552.03487923925,68903.63796366735,70456.43640791813,70212.43377706438,2800
29,1983,69962.91672157799,71017.45509304281,70138.91878385775,70303.38644766317,69271.68365730629,69531.06391411735,68203.20254241438,67971.1293273572,67469.16324717435,67828.93176334757,69369.86211278793,69144.04586717638,2900
30,1983,68892.03250953827,69983.17438885276,69114.56618641564,69273.7638241125,68217.92124826866,68476.65757875257,67132.44173517256,66897.66790790105,66386.29161510943,66754.2255630278,68283.28781765772,68075.65795728838,3000
31,1983,67821.14829749856,68948.8936846627,68090.21358897354,68244.14120056183,67164.15883923102,67422.25124338779,66061.68092793072,65824.2064884449,65303.41998304452,65679.519362708,67196.71352252753,67007.27004740038,3100
32,1983,66750.26408545884,67914.61298047265,67065.86099153144,67214.51857701116,66110.39643019339,66367.84490802302,64990.92012068888,64750.74506898876,64220.54835097961,64604.81316238822,66110.13922739733,65938.88213751238,3200
