,year,5,6,7,8,9,10,11,12,1,2,3,4,height
0,1974,100750.509180206,100128.32465718834,100056.13380877666,100226.20753863796,100038.3521578656,100451.7100326682,100581.1748082414,99698.36926813755,98979.45376120404,98977.0936424548,99902.09311127305,100463.65683392053,0
1,1974,99693.68668163432,99085.1140197624,99026.50734006462,99188.8831485564,99004.2960241926,99390.87584515208,99507.0246924642,98626.0238507958,97899.3060139329,97916.18212945331,98834.44246697224,99406.262742804,100
2,1974,98636.86418306267,98041.90338233647,97996.88087135257,98151.55875847484,97970.2398905196,98330.04165763594,98432.874576687,97553.67843345404,96819.15826666176,96855.27061645185,97766.79182267148,98348.8686516875,200
3,1974,97580.041684491,96998.69274491056,96967.25440264052,97114.23436839328,96936.1837568466,97269.2074701198,97358.72446090978,96481.33301611229,95739.01051939062,95794.35910345036,96699.14117837069,97291.474560571,300
4,1974,96523.21918591936,95955.48210748464,95937.62793392848,96076.90997831173,95902.1276231736,96208.37328260369,96284.57434513255,95408.98759877052,94658.86277211948,94733.44759044884,95631.49053406988,96234.0804694545,400
5,1974,95466.3966873477,94912.27147005872,94908.00146521642,95039.58558823015,94868.0714895006,95147.53909508756,95210.42422935535,94336.64218142876,93578.71502484834,93672.53607744737,94563.8398897691,95176.68637833798,500
6,1974,94409.57418877604,93869.06083263278,93878.37499650438,94002.2611981486,93834.0153558276,94086.70490757145,94136.27411357814,93264.296764087,92498.5672775772,92611.62456444588,93496.18924546833,94119.29228722148,600
7,1974,93352.7516902044,92825.85019520685,92848.74852779233,92964.93680806704,92799.9592221546,93025.8707200553,93062.12399780093,92191.95134674522,91418.41953030608,91550.7130514444,92428.53860116751,93061.89819610496,700
8,1974,92295.92919163272,91782.63955778092,91819.12205908028,91927.6124179855,91765.9030884816,91965.03653253918,91987.97388202373,91119.60592940346,90338.27178303491,90489.8015384429,91360.88795686672,92004.50410498846,800
9,1974,91239.10669306108,90739.428920355,90789.49559036824,90890.28802790394,90731.8469548086,90904.20234502303,90913.82376624653,90047.26051206171,89258.12403576379,89428.8900254414,90293.23731256594,90947.11001387196,900
10,1974,90182.28419448942,89696.21828292907,89759.86912165619,89852.96363782238,89697.79082113561,89843.36815750692,89839.6736504693,88974.91509471994,88177.97628849265,88367.97851243992,89225.58666826515,89889.71592275544,1000
11,1974,89125.46169591777,88653.00764550314,88730.24265294414,88815.63924774082,88663.73468746261,88782.53396999079,88765.52353469208,87902.56967737818,87097.8285412215,87307.06699943842,88157.93602396436,88832.32183163894,1100
12,1974,88068.6391973461,87609.7970080772,87700.61618423209,87778.31485765926,87629.6785537896,87721.69978247466,87691.37341891487,86830.22426003643,86017.68079395036,86246.15548643694,87090.28537966358,87774.92774052243,1200
13,1974,87011.81669877445,86566.58637065129,86670.98971552005,86740.9904675777,86595.6224201166,86660.86559495854,86617.22330313765,85757.87884269466,84937.53304667924,85185.24397343544,86022.63473536278,86717.53364940592,1300
14,1974,85954.9942002028,85523.37573322536,85641.36324680799,85703.66607749615,85561.56628644362,85600.03140744241,85543.07318736045,84685.5334253529,83857.3852994081,84124.33246043396,84954.984091062,85660.1395582894,1400
15,1974,84898.17170163113,84480.16509579943,84611.73677809595,84666.34168741459,84527.51015277061,84539.19721992628,84468.92307158324,83613.18800801114,82777.23755213695,83063.42094743247,83887.33344676121,84602.7454671729,1500
16,1974,83841.34920305948,83436.95445837351,83582.11030938389,83629.01729733303,83493.45401909761,83478.36303241015,83394.77295580602,82540.84259066937,81697.08980486581,82002.50943443098,82819.68280246042,83545.3513760564,1600
17,1974,82784.52670448783,82393.74382094758,82552.48384067185,82591.69290725148,82459.39788542461,82417.52884489403,82320.62284002881,81468.49717332762,80616.94205759467,80941.5979214295,81752.03215815962,82487.95728493988,1700
18,1974,81727.70420591616,81350.53318352165,81522.8573719598,81554.3685171699,81425.34175175162,81356.6946573779,81246.4727242516,80396.15175598586,79536.79431032353,79880.686408428,80684.38151385884,81430.56319382339,1800
19,1974,80670.88170734451,80307.32254609573,80493.23090324775,80517.04412708836,80391.28561807862,80295.86046986177,80172.32260847438,79323.80633864409,78456.6465630524,78819.77489542651,79616.73086955806,80373.16910270687,1900
20,1974,79614.05920877284,79264.1119086698,79463.60443453571,79479.71973700679,79357.22948440562,79235.02628234564,79098.17249269717,78251.46092130234,77376.49881578126,77758.86338242501,78549.08022525726,79315.77501159036,2000
21,1974,78557.23671020119,78220.90127124387,78433.97796582367,78442.39534692524,78323.17335073263,78174.19209482952,78024.02237691995,77179.11550396057,76296.35106851012,76697.95186942353,77481.42958095648,78258.38092047386,2100
22,1974,77500.41421162954,77177.69063381794,77404.35149711161,77405.07095684367,77289.11721705963,77113.35790731339,76949.87226114275,76106.77008661881,75216.20332123898,75637.04035642205,76413.77893665568,77200.98682935735,2200
23,1974,76443.59171305789,76134.47999639201,76374.72502839957,76367.74656676213,76255.06108338662,76052.52371979726,75875.72214536554,75034.42466927704,74136.05557396784,74576.12884342055,75346.1282923549,76143.59273824084,2300
24,1974,75386.76921448622,75091.26935896609,75345.09855968753,75330.42217668056,75221.00494971362,74991.68953228113,74801.57202958832,73962.07925193528,73055.9078266967,73515.21733041907,74278.4776480541,75086.19864712434,2400
25,1974,74329.94671591457,74048.05872154016,74315.47209097547,74293.09778659901,74186.94881604062,73930.85534476499,73727.42191381111,72889.73383459353,71975.76007942556,72454.30581741757,73210.82700375332,74028.80455600783,2500
