,0,1,2
141,1969,10,115
142,1969,11,36
143,1969,12,220
144,1970,1,225
145,1970,2,56
146,1970,3,365
147,1970,4,154
148,1970,5,81
149,1970,6,98
150,1970,7,352
151,1970,8,176
152,1970,9,363
153,1970,10,215
154,1970,11,91
155,1970,12,58
156,1971,1,136
157,1971,2,612
158,1971,3,97
159,1971,4,180
160,1971,5,120
161,1971,6,39
162,1971,7,82
163,1971,8,347
164,1971,9,363
165,1971,10,87
166,1971,11,11
167,1971,12,784
168,1972,1,219
169,1972,2,79
170,1972,3,291
171,1972,4,25
172,1972,5,11
173,1972,6,259
174,1972,7,479
175,1972,8,235
176,1972,9,178
177,1972,10,262
178,1972,11,313
179,1972,12,164
180,1973,1,95
181,1973,2,55
182,1973,3,33
183,1973,4,14
184,1973,5,70
185,1973,6,146
186,1973,7,67
187,1973,8,3
188,1973,9,228
189,1973,10,24
190,1973,11,46
191,1973,12,221
192,1974,1,818
193,1974,2,85
194,1974,3,264
195,1974,4,156
196,1974,5,31
197,1974,6,8
198,1974,7,659
199,1974,8,233
200,1974,9,62
201,1974,10,182
202,1974,11,278
203,1974,12,590
204,1975,1,10
205,1975,2,247
206,1975,3,98
207,1975,4,37
208,1975,5,46
209,1975,6,30
210,1975,7,106
211,1975,8,86
212,1975,9,71
213,1975,10,28
214,1975,11,389
215,1975,12,6
216,1976,1,100
217,1976,2,812
218,1976,3,258
219,1976,4,367
220,1976,5,111
221,1976,6,22
222,1976,7,97
223,1976,8,167
224,1976,9,2
225,1976,10,370
226,1976,11,102
227,1976,12,14
228,1977,1,141
229,1977,2,12
230,1977,3,99
231,1977,4,19
232,1977,5,73
233,1977,6,173
234,1977,7,147
235,1977,8,321
236,1977,9,108
237,1977,10,175
238,1977,11,175
239,1977,12,528
240,1978,1,56
241,1978,2,16
242,1978,3,356
243,1978,4,40
244,1978,5,228
245,1978,6,297
246,1978,7,112
247,1978,8,25
248,1978,9,25
249,1978,10,240
250,1978,11,211
251,1978,12,15
252,1979,1,245
253,1979,2,340
254,1979,3,474
255,1979,4,25
256,1979,5,6
257,1979,6,58
258,1979,7,484
259,1979,8,550
260,1979,9,204
261,1979,10,340
262,1979,11,551
263,1979,12,183
264,1980,1,296
265,1980,2,70
266,1980,3,615
267,1980,4,193
268,1980,5,128
269,1980,6,33
270,1980,7,5
271,1980,8,294
272,1980,9,335
273,1980,10,17
274,1980,11,59
275,1980,12,125
276,1981,1,18
277,1981,2,308
278,1981,3,37
279,1981,4,275
280,1981,5,61
281,1981,6,33
282,1981,10,0
283,1981,11,82
284,1981,12,13
285,1982,1,53
286,1982,2,184
287,1982,3,686
288,1982,4,116
289,1982,5,60
290,1982,6,22
291,1982,7,178
292,1982,8,359
293,1982,9,65
294,1982,10,338
295,1982,11,77
296,1982,12,46
297,1983,1,423
298,1983,2,174
299,1983,3,372
300,1983,4,111
301,1983,5,34
302,1983,6,92
303,1983,7,533
304,1983,8,448
305,1983,9,103
306,1983,10,14
307,1983,11,57
308,1983,12,57
309,1984,1,243
310,1984,2,294
311,1984,3,290
312,1984,4,235
313,1984,5,213
314,1984,6,3
315,1984,7,430
316,1984,8,615
317,1984,9,183
318,1984,10,71
319,1984,11,251
320,1984,12,542
321,1985,1,95
322,1985,2,451
323,1985,3,150
324,1985,4,8
325,1985,5,85
326,1985,6,6
327,1985,7,326
328,1985,8,7
329,1985,9,41
330,1985,10,118
331,1985,11,153
332,1985,12,32
333,1986,1,183
334,1986,2,52
335,1986,3,245
336,1986,4,84
337,1986,5,49
338,1986,6,22
339,1986,7,653
340,1986,8,20
341,1986,9,228
342,1986,10,246
343,1986,11,50
344,1986,12,421
345,1987,1,64
346,1987,2,271
347,1987,3,184
348,1987,4,239
349,1987,5,4
350,1987,6,27
351,1987,7,23
352,1987,8,69
353,1987,9,30
354,1987,10,37
355,1987,11,60
356,1987,12,86
357,1988,1,53
358,1988,2,228
359,1988,3,15
360,1988,4,6
361,1988,5,59
362,1988,6,346
363,1988,7,15
364,1988,8,51
365,1988,9,32
366,1988,10,37
367,1988,11,469
368,1988,12,55
369,1989,1,54
370,1989,2,115
371,1989,3,388
372,1989,4,148
373,1989,5,147
374,1989,6,61
375,1989,7,67
376,1989,8,46
377,1989,9,264
378,1989,10,101
379,1989,11,59
380,1989,12,211
381,1990,1,402
382,1990,2,135
383,1990,3,239
384,1990,4,380
385,1990,5,4
386,1990,6,22
387,1990,7,122
388,1990,8,637
389,1990,9,448
390,1990,10,92
391,1990,11,8
392,1990,12,947
393,1991,1,543
394,1991,2,204
395,1991,3,133
396,1991,4,238
397,1991,5,89
398,1991,6,0
399,1991,7,120
400,1991,8,211
401,1991,9,623
402,1991,10,262
403,1991,11,1205
404,1991,12,317
405,1992,1,941
406,1992,2,582
407,1992,3,29
408,1992,4,594
409,1992,5,92
410,1992,6,234
411,1992,7,4
412,1992,8,49
413,1992,9,164
414,1992,10,182
415,1992,11,336
416,1992,12,195
417,1993,1,115
418,1993,2,202
419,1993,3,364
420,1993,4,273
421,1993,5,67
422,1993,6,216
423,1993,7,349
424,1993,8,719
425,1993,9,149
426,1993,10,63
427,1993,11,701
428,1993,12,90
429,1994,1,334
430,1994,2,537
431,1994,3,502
432,1994,4,224
433,1994,5,131
434,1994,6,67
435,1994,7,49
436,1994,8,90
437,1994,9,16
438,1994,10,457
439,1994,11,435
440,1994,12,415
441,1995,1,169
442,1995,2,133
443,1995,3,488
444,1995,4,47
445,1995,5,6
446,1995,6,0
447,1995,7,170
448,1995,8,84
449,1995,9,196
450,1995,10,213
451,1995,11,55
452,1995,12,316
453,1996,1,514
454,1996,2,135
455,1996,3,305
456,1996,4,43
457,1996,5,86
458,1996,6,108
459,1996,7,35
460,1996,8,89
461,1996,9,568
462,1996,10,210
463,1996,11,165
464,1996,12,35
465,1997,1,92
466,1997,2,517
467,1997,3,106
468,1997,4,125
469,1997,5,0
470,1997,6,13
471,1997,7,459
472,1997,8,425
473,1997,9,413
474,1997,10,193
475,1997,11,151
476,1997,12,515
477,1998,1,156
478,1998,2,272
479,1998,3,625
480,1998,4,57
481,1998,5,126
482,1998,6,0
483,1998,7,571
484,1998,8,796
485,1998,9,152
486,1998,10,296
487,1998,11,426
488,1998,12,67
489,1999,1,351
490,1999,2,727
491,1999,3,338
492,1999,4,38
493,1999,5,164
494,1999,6,90
495,1999,7,276
496,1999,8,166
497,1999,9,224
498,1999,10,103
499,1999,11,280
500,1999,12,123
501,2000,1,176
502,2000,2,410
503,2000,3,86
504,2000,4,40
505,2000,5,71
506,2000,6,29
507,2000,7,281
508,2000,8,57
509,2000,9,150
510,2000,10,513
511,2000,11,57
512,2000,12,23
513,2001,1,191
514,2001,2,114
515,2001,3,266
516,2001,4,19
517,2001,5,8
518,2001,6,43
519,2001,7,248
520,2001,8,389
521,2001,9,140
522,2001,10,249
523,2001,11,269
524,2001,12,331
525,2002,1,219
526,2002,2,364
527,2002,3,105
528,2002,4,493
529,2002,5,118
530,2002,6,72
531,2002,7,150
532,2002,8,387
533,2002,9,33
534,2002,10,78
535,2002,11,29
536,2002,12,579
537,2003,1,225
538,2003,2,324
539,2003,3,189
540,2003,4,165
541,2003,5,16
542,2003,6,0
543,2003,7,66
544,2003,8,66
545,2003,9,39
546,2003,10,157
547,2003,11,282
548,2003,12,59
549,2004,1,189
550,2004,2,79
551,2004,3,299
552,2004,4,567
553,2004,5,63
554,2004,6,8
555,2004,7,485
556,2004,8,11
557,2004,9,465
558,2004,10,20
559,2004,11,92
560,2004,12,351
561,2005,1,148
562,2005,2,181
563,2005,3,71
564,2005,4,173
565,2005,5,307
566,2005,6,141
567,2005,7,171
568,2005,8,2
569,2005,9,57
570,2005,10,93
571,2005,11,300
572,2005,12,781
573,2006,1,1260
574,2006,2,274
575,2006,3,424
576,2006,4,680
577,2006,5,78
578,2006,6,11
579,2006,7,503
580,2006,8,228
581,2006,9,110
582,2006,10,135
583,2006,11,96
584,2006,12,46
585,2007,1,298
586,2007,2,310
587,2007,3,219
588,2007,4,76
589,2007,5,4
590,2007,6,0
591,2007,7,47
592,2007,8,329
593,2007,9,59
594,2007,10,57
595,2007,11,238
596,2007,12,405
597,2008,1,437
598,2008,2,762
599,2008,3,341
600,2008,4,74
601,2008,5,9
602,2008,6,64
603,2008,7,2
604,2008,8,157
605,2008,9,482
606,2008,10,7
607,2008,11,94
608,2008,12,
609,2009,1,270
610,2009,2,97
611,2009,3,56
612,2009,4,25
613,2009,5,202
614,2009,6,86
615,2009,7,422
616,2009,8,51
617,2009,9,227
618,2009,10,80
619,2009,11,86
620,2009,12,231
621,2010,1,61
622,2010,2,0
623,2010,3,73
624,2010,4,197
625,2010,5,84
626,2010,6,3
627,2010,7,0
628,2010,8,39
629,2010,9,105
630,2010,10,173
631,2010,11,0
632,2010,12,78
633,2011,1,144
634,2011,2,241
635,2011,3,482
636,2011,4,321
637,2011,5,108
638,2011,6,0
639,2011,7,62
640,2011,8,430
641,2011,9,52
642,2011,10,278
643,2011,11,230
644,2011,12,187
645,2012,1,580
646,2012,2,312
647,2012,3,614
648,2012,4,1
649,2012,5,42
650,2012,6,0
651,2012,7,32
652,2012,8,50
653,2012,9,52
654,2012,10,128
655,2012,11,71
656,2012,12,5
657,2013,1,160
658,2013,2,19
659,2013,3,63
660,2013,4,2
661,2013,5,86
662,2013,6,73
663,2013,7,148
664,2013,8,341
665,2013,9,1192
666,2013,10,42
667,2013,11,37
