,0,1,2
0,1958,1,375
1,1958,2,455
2,1958,3,451
3,1958,4,310
4,1958,5,64
5,1958,6,108
6,1958,7,98
7,1958,8,30
8,1958,9,30
9,1958,10,70
10,1958,11,93
11,1958,12,233
12,1959,1,42
13,1959,2,204
14,1959,3,33
15,1959,4,392
16,1959,5,46
17,1959,6,12
18,1959,7,46
19,1959,8,260
20,1959,9,82
21,1959,10,204
22,1959,11,276
23,1959,12,328
24,1960,1,694
25,1960,2,345
26,1960,3,113
27,1960,4,261
28,1960,5,62
29,1960,6,21
30,1960,7,73
31,1960,8,66
32,1960,9,413
33,1960,10,0
34,1960,11,52
35,1960,12,92
36,1961,1,110
37,1961,2,55
38,1961,3,86
39,1961,4,20
40,1961,5,12
41,1961,6,136
42,1961,7,12
43,1961,8,289
44,1961,9,79
45,1961,10,348
46,1961,11,200
47,1961,12,64
48,1962,1,91
49,1962,2,171
50,1962,3,1
51,1962,4,0
52,1962,5,25
53,1962,6,85
54,1962,7,29
55,1962,8,237
56,1962,9,0
57,1962,10,451
58,1962,11,152
59,1962,12,260
60,1963,1,57
61,1963,2,55
62,1963,3,302
63,1963,4,20
64,1963,5,196
65,1963,6,4
66,1963,7,65
67,1963,8,124
68,1963,9,56
69,1963,10,133
70,1963,11,65
71,1963,12,22
72,1964,1,30
73,1964,2,26
74,1964,3,168
75,1964,4,68
76,1964,5,19
77,1964,6,25
78,1964,7,51
79,1964,8,135
80,1964,9,64
81,1964,10,222
82,1964,11,155
83,1964,12,164
84,1965,1,69
85,1965,2,65
86,1965,3,5
87,1965,4,188
88,1965,5,0
89,1965,6,64
90,1965,7,51
91,1965,8,87
92,1965,9,92
93,1965,10,101
94,1965,11,50
95,1965,12,58
96,1966,1,44
97,1966,2,16
98,1966,3,43
99,1966,4,40
100,1966,5,13
101,1966,6,22
102,1966,7,260
103,1966,8,19
104,1966,9,105
105,1966,10,29
106,1966,11,10
107,1966,12,143
108,1967,1,11
109,1967,2,140
110,1967,3,47
111,1967,4,284
112,1967,5,1
113,1967,6,43
114,1967,7,0
115,1967,8,119
116,1967,9,184
117,1967,10,54
118,1967,11,448
119,1967,12,147
120,1968,1,238
121,1968,2,47
122,1968,3,125
123,1968,4,184
124,1968,5,0
125,1968,6,70
126,1968,7,16
127,1968,8,134
128,1968,9,347
129,1968,10,37
130,1968,11,197
131,1968,12,12
132,1969,1,19
133,1969,2,65
134,1969,3,124
135,1969,4,5
136,1969,5,0
137,1969,6,27
138,1969,7,302
139,1969,8,20
140,1969,9,64
