,year,month,wind
216,1989,5,36.64112903
217,1989,6,30.80833333
218,1989,7,29.39112903
219,1989,8,27.54435484
220,1989,9,31.70833333
221,1989,10,30.60080645
222,1989,11,60.54166667
223,1989,12,70.47177419
224,1990,1,51.35080645
225,1990,2,22.40178571
226,1990,3,29.02024291
227,1990,4,26.425
228,1990,5,32.56854839
229,1990,6,44.5625
230,1990,7,40.23790323
231,1990,8,31.89516129
232,1990,9,32.6
233,1990,10,29.5766129
234,1990,11,61.28333333
235,1990,12,57.33064516
236,1991,1,40.81854839
237,1991,2,62.32589286
238,1991,3,39.72983871
239,1991,4,41.15833333
240,1991,5,44.73790323
241,1991,6,60.48333333
242,1991,7,52.99193548
243,1991,8,34.10483871
244,1991,9,32.4375
245,1991,10,24.22580645
246,1991,11,26.22083333
247,1991,12,42.57258065
248,1992,1,49.79435484
249,1992,2,48.90948276
250,1992,3,41.41056911
251,1992,4,43.42083333
252,1992,5,29.21862348
253,1992,6,25.7625
254,1992,7,37.38306452
255,1992,8,29.46774194
256,1992,9,31.70833333
257,1992,10,23.17408907
258,1992,11,29.9375
259,1992,12,45.23481781
260,1993,1,19.08870968
261,1993,2,39.99107143
262,1993,3,28.58704453
263,1993,4,42.79079498
264,1993,5,32.43548387
265,1993,6,46.575
266,1993,7,27.0244898
267,1993,8,29.3
268,1993,9,49.27916667
269,1993,10,36.18145161
270,1993,11,34.3875
271,1993,12,27.51612903
272,1994,1,84.78947368
273,1994,2,73.22321429
274,1994,3,31.99588477
275,1994,4,47.58403361
276,1994,5,44.52419355
277,1994,6,37.85774059
278,1994,7,34.71370968
279,1994,8,33.1300813
280,1994,9,24.42259414
281,1994,10,32.80645161
282,1994,11,55.89166667
283,1994,12,26.82258065
284,1995,1,33.94736842
285,1995,2,43.94196429
286,1995,3,17.19105691
287,1995,4,53.15611814
288,1995,5,38.84677419
289,1995,6,52.53974895
290,1995,7,33.1097561
291,1995,8,37.35365854
292,1995,9,52.16666667
293,1995,10,29.72177419
294,1995,11,33.38655462
295,1995,12,47.02834008
296,1996,1,60.77016129
297,1996,2,50.77155172
298,1996,3,33.74596774
299,1996,4,33.07112971
300,1996,5,49.06882591
301,1996,6,38.34583333
302,1996,7,32.76612903
303,1996,8,24.43902439
304,1996,9,34.91949153
305,1996,10,24.17741935
306,1996,11,25.70588235
307,1996,12,42.22857143
308,1997,1,68.79012346
309,1997,2,28.25225225
310,1997,3,83.81300813
311,1997,4,42.61603376
312,1997,5,40.05284553
313,1997,6,51.13080169
314,1997,7,29.69230769
315,1997,8,26.85887097
316,1997,9,31.35416667
317,1997,10,31.26720648
318,1997,11,40.89166667
319,1997,12,54.22580645
320,1998,1,52.36290323
321,1998,2,23.88839286
322,1998,3,37.18548387
323,1998,4,56.89121339
324,1998,5,40.05241935
325,1998,6,50.17083333
326,1998,7,30.68548387
327,1998,8,25.35483871
328,1998,9,49.9916318
329,1998,10,28.14516129
330,1998,11,31.86192469
331,1998,12,48.34146341
332,1999,1,54.35887097
333,1999,2,29.50446429
334,1999,3,28.31854839
335,1999,4,56.25833333
336,1999,5,36.33064516
337,1999,6,38.32635983
338,1999,7,43.11693548
339,1999,8,40.54435484
340,1999,9,28.07083333
341,1999,10,34.3266129
342,1999,11,36.65416667
343,1999,12,31.588
344,2000,1,38.6023166
345,2000,2,28.68965517
346,2000,3,29.46370968
347,2000,4,43.10080645
348,2000,5,47.66122449
349,2000,6,56.2605042
350,2000,7,34.68292683
351,2000,8,30.83932854
352,2000,9,38.54978962
353,2000,10,31.44701087
354,2000,11,22.11715481
355,2000,12,59.80784844
356,2001,1,33.48101266
357,2001,2,43.09538462
358,2001,3,41.01494565
359,2001,4,46.17015342
360,2001,5,37.63292848
361,2001,6,36.01258741
362,2001,7,40.75978408
363,2001,8,45.54545455
364,2001,9,41.03899721
365,2001,10,27.87763713
366,2001,11,43.49651325
367,2001,12,46.36283186
368,2002,1,67.59150805
369,2002,2,48.54434783
370,2002,3,49.02816901
371,2002,4,43.47740113
372,2002,5,48.53532609
373,2002,6,48.37413074
374,2002,7,32.16329285
375,2002,8,29.01664355
376,2002,9,46.38504937
377,2002,10,49.22086721
378,2002,11,57.23988842
379,2002,12,52.6769852
380,2003,1,80.13043478
381,2003,2,57.41916168
382,2003,3,63.6550765
383,2003,4,36.53571429
384,2003,5,47.12313938
385,2003,6,44.24964539
386,2003,7,34.2244898
387,2003,8,40.81682497
388,2003,9,23
389,2003,10,54.43031123
390,2003,11,34.97707736
391,2003,12,40.80684932
392,2004,1,74.36726272
393,2004,2,44.5988287
394,2004,3,33.51856946
395,2004,4,27.80839161
396,2004,5,64.17655172
397,2004,6,34.32942899
398,2004,7,25.71195652
399,2004,8,31.84210526
400,2004,9,30.38549075
401,2004,10,15.59756098
402,2004,11,33.57204611
403,2004,12,38.01371951
404,2005,1,39.33923706
405,2005,2,59.74812594
406,2005,3,66.2493188
407,2005,4,44.42937853
408,2005,5,31.16022099
409,2005,6,49.49232915
410,2005,7,40.1755102
411,2005,8,40.60832138
412,2005,9,25.69632768
413,2005,10,31.69167804
414,2005,11,41.23882682
415,2005,12,38.65943012
416,2006,1,41.14285714
417,2006,2,63.4375
418,2006,3,51.09891599
