,year,5,6,7,8,9,10,11,12,1,2,3,4
0,1959,179.0,94.0,524.0,88.0,2328.0,1486.0,840.0,1065.0,627.0,2331.0,2078.0,122.0
1,1960,1051.0,60.0,492.0,382.0,2316.0,2174.0,559.0,861.0,903.0,257.0,1879.0,256.0
2,1961,1315.0,283.0,6.0,627.0,1040.0,391.0,1117.0,956.0,1038.0,372.0,1288.0,469.0
3,1962,448.0,6.0,835.0,424.0,414.0,769.0,539.0,138.0,922.0,486.0,230.0,1296.0
4,1963,262.0,468.0,8.0,1101.0,455.0,574.0,617.0,896.0,2224.0,948.0,1376.0,430.0
5,1964,322.0,769.0,616.0,76.0,1012.0,888.0,647.0,1430.0,2752.0,1396.0,3668.0,422.0
6,1965,663.0,727.0,879.0,161.0,339.0,1294.0,1413.0,772.0,1584.0,2261.0,446.0,1015.0
7,1966,169.0,602.0,70.0,181.0,630.0,1433.0,846.0,556.0,461.0,307.0,980.0,499.0
8,1967,103.0,360.0,578.0,378.0,672.0,624.0,1568.0,320.0,1346.0,2344.0,443.0,2054.0
9,1968,76.0,775.0,8.0,702.0,1655.0,907.0,1497.0,1488.0,837.0,743.0,2009.0,596.0
10,1969,374.0,637.0,1059.0,481.0,2068.0,249.0,2174.0,2278.0,621.0,823.0,541.0,1097.0
11,1970,1537.0,1536.0,866.0,2389.0,951.0,762.0,698.0,1130.0,911.0,1404.0,1134.0,1008.0
12,1971,1171.0,1261.0,361.0,1263.0,1097.0,1634.0,789.0,3923.0,1667.0,1563.0,753.0,763.0
13,1972,894.0,406.0,171.0,176.0,1044.0,1352.0,905.0,2580.0,5743.0,1777.0,2179.0,987.0
14,1973,2282.0,1128.0,363.0,1237.0,2161.0,1328.0,684.0,1546.0,3334.0,1300.0,946.0,1401.0
15,1974,418.0,185.0,1228.0,445.0,3209.0,1101.0,1177.0,2670.0,1309.0,1450.0,2484.0,1714.0
16,1975,796.0,401.0,26.0,693.0,550.0,1494.0,1326.0,994.0,803.0,3056.0,2802.0,1015.0
17,1976,1800.0,676.0,930.0,1006.0,821.0,1871.0,2266.0,1250.0,1243.0,2600.0,4434.0,943.0
18,1977,257.0,555.0,129.0,1603.0,2448.0,2883.0,1322.0,2594.0,291.0,748.0,960.0,383.0
19,1978,1446.0,1153.0,1006.0,2985.0,2077.0,354.0,1140.0,2778.0,3926.0,770.0,949.0,1657.0
20,1979,1642.0,1795.0,582.0,1576.0,134.0,1600.0,1448.0,2461.0,1172.0,1464.0,1487.0,610.0
21,1980,860.0,750.0,845.0,112.0,521.0,1145.0,647.0,1844.0,1702.0,1135.0,833.0,0.0
22,1981,1106.0,831.0,774.0,411.0,1115.0,772.0,1898.0,881.0,1318.0,1008.0,405.0,2542.0
23,1982,863.0,625.0,694.0,1784.0,182.0,619.0,1493.0,972.0,585.0,2257.0,806.0,1830.0
24,1983,190.0,709.0,760.0,1377.0,365.0,1702.0,898.0,736.0,1299.0,2910.0,774.0,983.0
25,1984,707.0,275.0,1265.0,1391.0,667.0,611.0,2052.0,638.0,1353.0,1463.0,1487.0,1697.0
26,1985,1558.0,1432.0,2146.0,1902.0,1468.0,1497.0,1430.0,1343.0,1384.0,2123.0,684.0,489.0
27,1986,883.0,153.0,359.0,1283.0,273.0,903.0,1743.0,323.0,1184.0,866.0,1738.0,1703.0
28,1987,299.0,862.0,152.0,1308.0,1322.0,1332.0,846.0,963.0,5223.0,1832.0,1237.0,1331.0
29,1988,2111.0,465.0,1200.0,53.0,498.0,1136.0,1891.0,2097.0,505.0,531.0,474.0,486.0
30,1989,1957.0,808.0,224.0,541.0,681.0,927.0,1819.0,1177.0,1373.0,398.0,850.0,867.0
31,1990,467.0,485.0,707.0,1231.0,1895.0,1790.0,1479.0,2062.0,801.0,1035.0,776.0,900.0
32,1991,482.0,479.0,996.0,799.0,1955.0,1370.0,2376.0,1364.0,1850.0,1506.0,1213.0,310.0
33,1992,2676.0,0.0,698.0,1162.0,758.0,2079.0,455.0,3393.0,3707.0,1696.0,1226.0,765.0
34,1993,1146.0,883.0,367.0,376.0,1032.0,1504.0,1025.0,959.0,994.0,2228.0,2526.0,739.0
35,1994,439.0,161.0,62.0,1971.0,1759.0,1477.0,2075.0,751.0,1043.0,982.0,645.0,567.0
36,1995,796.0,125.0,260.0,1978.0,951.0,780.0,784.0,562.0,659.0,288.0,654.0,180.0
37,1996,488.0,1180.0,312.0,993.0,1453.0,539.0,1315.0,1702.0,2489.0,2048.0,3104.0,419.0
38,1997,412.0,370.0,936.0,912.0,3619.0,442.0,1052.0,2219.0,2322.0,1218.0,333.0,2553.0
39,1998,599.0,51.0,1068.0,1234.0,1821.0,1346.0,1130.0,1667.0,825.0,1275.0,1455.0,1429.0
40,1999,789.0,57.0,383.0,701.0,351.0,430.0,1166.0,741.0,1048.0,1166.0,198.0,588.0
41,2000,962.0,1602.0,61.0,1748.0,528.0,1045.0,2227.0,416.0,2042.0,688.0,2751.0,965.0
42,2001,1295.0,151.0,567.0,587.0,1737.0,598.0,524.0,328.0,1288.0,2305.0,1133.0,588.0
43,2002,595.0,947.0,200.0,292.0,1457.0,451.0,3208.0,3103.0,1538.0,1045.0,1388.0,853.0
44,2003,732.0,1164.0,756.0,842.0,2269.0,1985.0,1200.0,1897.0,1677.0,1689.0,2105.0,1548.0
45,2004,1229.0,210.0,120.0,299.0,425.0,1355.0,1166.0,877.0,581.0,1440.0,2604.0,574.0
46,2005,622.0,178.0,1923.0,643.0,1425.0,691.0,1647.0,516.0,3598.0,1746.0,1599.0,846.0
