,year,month,wind
0,1961,1,67.33467742
1,1961,2,32.14285714
2,1961,3,22.52419355
3,1961,4,51.35416667
4,1961,5,30.90322581
5,1961,6,36.95416667
6,1961,7,35.31854839
7,1961,8,27.33064516
8,1961,9,19.96666667
9,1961,10,21.06854839
10,1961,11,35.4625
11,1961,12,57.19918699
12,1962,1,48.56451613
13,1962,2,56.27678571
14,1962,3,104.1008065
15,1962,4,40.46666667
16,1962,5,54.59677419
17,1962,6,42.85
18,1962,7,22.18951613
19,1962,8,26.16129032
20,1962,9,14.7875
21,1962,10,39.36693548
22,1962,11,34.2
23,1962,12,33.24596774
24,1963,1,51.01612903
25,1963,2,68.35714286
26,1963,3,45.35080645
27,1963,4,39.44166667
28,1963,5,39.63709677
29,1963,6,42.50833333
30,1963,7,31.30645161
31,1963,8,30.87903226
32,1963,9,28.45833333
33,1963,10,20.22983871
34,1963,11,21.22083333
35,1963,12,67.95967742
36,1964,1,52.14919355
37,1964,2,62.12931034
38,1964,3,27.15322581
39,1964,4,40.675
40,1964,5,37.29435484
41,1964,6,34.75
42,1964,7,29.52419355
43,1964,8,31.14112903
44,1964,9,38.52083333
45,1964,10,32.52419355
46,1964,11,20.32916667
47,1964,12,23.39112903
48,1965,1,43.5
49,1965,2,50.43303571
50,1965,3,61.49596774
51,1965,4,42.55833333
52,1965,5,56.91497976
53,1965,6,44.22083333
54,1965,7,28.63306452
55,1965,8,29.49193548
56,1965,9,32.40833333
57,1965,10,14.40725806
58,1965,11,65.88333333
59,1965,12,33.01209677
60,1966,1,37.63709677
61,1966,2,90.65625
62,1966,3,25.94354839
63,1966,4,31.15416667
64,1966,5,44.96774194
65,1966,6,38.84166667
66,1966,7,23.23790323
67,1966,8,38.1733871
68,1966,9,31.1625
69,1966,10,30.34274194
70,1966,11,30.5375
71,1966,12,20.58870968
72,1967,1,59.05645161
73,1967,2,40.61160714
74,1967,3,16.79032258
75,1967,4,23.375
76,1967,5,25.03629032
77,1967,6,37.42083333
78,1967,7,28.08467742
79,1967,8,28.36693548
80,1967,9,22.17083333
81,1967,10,23.9233871
82,1967,11,26.3375
83,1967,12,40.36693548
84,1968,1,70.76209677
85,1968,2,51.98706897
86,1968,3,30.79032258
87,1968,4,30.17083333
88,1968,5,57.05241935
89,1968,6,44.96666667
90,1968,7,35.10080645
91,1968,8,36.81451613
92,1968,9,28.78333333
93,1968,10,22.60080645
94,1968,11,36.11666667
95,1968,12,43.53629032
96,1969,1,45.74596774
97,1969,2,17.76339286
98,1969,3,36.33870968
99,1969,4,52.325
100,1969,5,37.4516129
101,1969,6,37.56666667
102,1969,7,27.7016129
103,1969,8,33.50806452
104,1969,9,22.04166667
105,1969,10,31.19758065
106,1969,11,11.87916667
107,1969,12,20.52822581
108,1970,1,41.84677419
109,1970,2,53.04910714
110,1970,3,26.5483871
111,1970,4,29.725
112,1970,5,34.28629032
113,1970,6,29.82083333
114,1970,7,21.92741935
115,1970,8,18.24596774
116,1970,9,17.79166667
117,1970,10,16.89112903
118,1970,11,22.01666667
119,1970,12,42.26209677
120,1971,1,39.86290323
121,1971,2,19.73214286
122,1971,3,44.58064516
123,1971,4,32.12916667
124,1971,5,27.7016129
125,1971,6,36.07083333
126,1971,7,25.57489879
127,1971,8,29.59274194
128,1971,9,40.875
129,1971,10,28.33064516
130,1971,11,26.325
131,1971,12,23.74193548
132,1972,1,27.85483871
133,1972,2,52.77586207
134,1972,3,27.18145161
135,1972,4,40.71666667
136,1972,5,33.41532258
137,1972,6,25.65833333
138,1972,7,26.68145161
139,1972,8,34.23387097
140,1972,9,26.85416667
141,1972,10,25.65322581
142,1972,11,33.18333333
143,1972,12,29.74596774
144,1973,1,28.31854839
145,1973,2,36.43303571
146,1973,3,22.30241935
147,1973,4,29.5875
148,1973,5,27.64919355
149,1973,6,32.72083333
150,1973,7,24.10931174
151,1973,8,25.5
152,1973,9,28.44166667
153,1973,10,22.80161943
154,1973,11,53.31380753
155,1973,12,34.94758065
156,1974,1,16.37903226
157,1974,2,51.66071429
158,1974,3,52.39516129
159,1974,4,38.63333333
160,1974,5,41.30241935
161,1974,6,29
162,1974,7,36.40243902
163,1974,8,27.04435484
164,1974,9,19.17916667
165,1974,10,39.04048583
166,1974,11,28.83263598
167,1974,12,8.610655738
168,1975,1,24.12903226
