,0,1,2
0,1961,1,238
1,1961,2,83
2,1961,3,1108
3,1961,4,31
4,1961,5,573
5,1961,6,171
6,1961,7,293
7,1961,8,1451
8,1961,9,599
9,1961,10,314
10,1961,11,943
11,1961,12,118
12,1962,1,222
13,1962,2,489
14,1962,3,0
15,1962,4,56
16,1962,5,198
17,1962,6,562
18,1962,7,321
19,1962,8,300
20,1962,9,501
21,1962,10,481
22,1962,11,457
23,1962,12,732
24,1963,1,1256
25,1963,2,173
26,1963,3,74
27,1963,4,257
28,1963,5,857
29,1963,6,533
30,1963,7,326
31,1963,8,701
32,1963,9,810
33,1963,10,201
34,1963,11,240
35,1963,12,415
36,1964,1,293
37,1964,2,174
38,1964,3,1027
39,1964,4,273
40,1964,5,51
41,1964,6,461
42,1964,7,687
43,1964,8,153
44,1964,9,198
45,1964,10,1063
46,1964,11,1787
47,1964,12,713
48,1965,1,172
49,1965,2,750
50,1965,3,70
51,1965,4,398
52,1965,5,100
53,1965,6,542
54,1965,7,263
55,1965,8,234
56,1965,9,1083
57,1965,10,288
58,1965,11,485
59,1965,12,109
60,1966,1,2
61,1966,2,35
62,1966,3,384
63,1966,4,69
64,1966,5,28
65,1966,6,120
66,1966,7,2283
67,1966,8,5
68,1966,9,987
69,1966,10,736
70,1966,11,1203
71,1966,12,667
72,1967,1,2240
73,1967,2,690
74,1967,3,245
75,1967,4,479
76,1967,5,581
77,1967,6,899
78,1967,7,1409
79,1967,8,1204
80,1967,9,216
81,1967,10,648
82,1967,11,1345
83,1967,12,936
84,1968,1,458
85,1968,2,265
86,1968,3,1439
87,1968,4,257
88,1968,5,124
89,1968,6,203
90,1968,7,805
91,1968,8,1465
92,1968,9,215
93,1968,10,0
94,1968,11,64
95,1968,12,295
96,1969,1,493
97,1969,2,861
98,1969,3,245
99,1969,4,87
100,1969,5,168
101,1969,6,518
102,1969,7,283
103,1969,8,1434
104,1969,9,1024
105,1969,10,1087
106,1969,11,1506
107,1969,12,3053
108,1970,1,179
109,1970,2,753
110,1970,3,1457
111,1970,4,802
112,1970,5,371
113,1970,6,685
114,1970,7,826
115,1970,8,1198
116,1970,9,1507
117,1970,10,1688
118,1970,11,1658
119,1970,12,1290
120,1971,1,173
121,1971,2,533
122,1971,3,252
123,1971,4,532
124,1971,5,1116
125,1971,6,84
126,1971,7,738
127,1971,8,2227
128,1971,9,811
129,1971,10,205
130,1971,11,2152
131,1971,12,220
132,1972,1,452
133,1972,2,984
134,1972,3,1232
135,1972,4,248
136,1972,5,509
137,1972,6,1317
138,1972,7,438
139,1972,8,1462
140,1972,9,1015
141,1972,10,1579
142,1972,11,138
143,1972,12,136
144,1973,1,312
145,1973,2,717
146,1973,3,256
147,1973,4,830
148,1973,5,177
149,1973,6,627
150,1973,7,1432
151,1973,8,355
152,1973,9,1252
153,1973,10,560
154,1973,11,171
155,1973,12,1514
156,1974,1,185
157,1974,2,632
158,1974,3,316
159,1974,4,69
160,1974,5,48
161,1974,6,9
162,1974,7,512
163,1974,8,612
164,1974,9,445
165,1974,10,1365
166,1974,11,263
167,1974,12,422
168,1975,1,73
169,1975,2,106
170,1975,3,540
171,1975,4,1381
172,1975,5,377
173,1975,6,800
174,1975,7,2185
175,1975,8,1002
176,1975,9,1490
177,1975,10,345
178,1975,11,1860
179,1975,12,5053
180,1976,1,406
181,1976,2,512
182,1976,3,313
183,1976,4,2095
184,1976,5,196
185,1976,6,312
186,1976,7,332
187,1976,8,2915
188,1976,9,2232
189,1976,10,840
190,1976,11,126
191,1976,12,491
192,1977,1,296
193,1977,2,29
194,1977,3,225
195,1977,4,413
196,1977,5,461
197,1977,6,1612
198,1977,7,1288
199,1977,8,80
200,1977,9,343
201,1977,10,529
202,1977,11,1742
203,1977,12,2418
204,1978,1,684
205,1978,2,22
206,1978,3,224
207,1978,4,495
208,1978,5,267
209,1978,6,1293
210,1978,7,689
211,1978,8,1910
212,1978,9,558
213,1978,10,2531
214,1978,11,776
215,1978,12,241
216,1979,1,957
217,1979,2,171
218,1979,3,639
219,1979,4,539
220,1979,5,718
221,1979,6,1254
222,1979,7,642
223,1979,8,189
224,1979,9,1106
225,1979,10,4
226,1979,11,151
227,1979,12,1278
228,1980,1,343
229,1980,2,76
230,1980,3,383
231,1980,4,1719
232,1980,5,304
233,1980,6,1125
234,1980,7,270
235,1980,8,73
236,1980,9,262
237,1980,10,351
238,1980,11,695
239,1980,12,527
240,1981,1,1493
241,1981,2,907
242,1981,3,198
243,1981,4,1594
244,1981,5,833
245,1981,6,979
246,1981,7,1320
247,1981,8,599
248,1981,9,70
249,1981,10,743
250,1981,11,218
251,1981,12,217
252,1982,1,344
253,1982,2,22
254,1982,3,254
255,1982,4,1156
256,1982,5,142
257,1982,6,137
258,1982,7,1712
259,1982,8,1049
260,1982,9,555
261,1982,10,355
262,1982,11,379
263,1982,12,731
264,1983,1,862
265,1983,2,2604
266,1983,3,1589
267,1983,4,1130
268,1983,5,631
269,1983,6,1845
270,1983,7,1490
271,1983,8,1862
272,1983,9,1585
273,1983,10,931
274,1983,11,949
275,1983,12,300
276,1984,1,1152
277,1984,2,86
278,1984,3,905
279,1984,4,301
280,1984,5,2086
281,1984,6,420
282,1984,7,1106
283,1984,8,3185
284,1984,9,331
285,1984,10,118
286,1984,11,144
287,1984,12,895
288,1985,1,204
289,1985,2,118
290,1985,3,106
291,1985,4,319
292,1985,5,78
