,year,month,cloud_mean(index)
0,1961,1,5.977973568281938
1,1961,2,3.5348837209302326
2,1961,3,5.072033898305085
3,1961,4,4.9071729957805905
4,1961,5,5.729508196721311
5,1961,6,5.05
6,1961,7,5.528225806451613
7,1961,8,6.004032258064516
8,1961,9,5.292887029288703
9,1961,10,4.426829268292683
10,1961,11,4.618421052631579
11,1961,12,3.4549180327868854
12,1962,1,4.860759493670886
13,1962,2,5.020618556701031
14,1962,3,4.088709677419355
15,1962,4,5.181034482758621
16,1962,5,5.923076923076923
17,1962,6,6.2094017094017095
18,1962,7,5.590163934426229
19,1962,8,4.463709677419355
20,1962,9,5.087866108786611
21,1962,10,5.6396761133603235
22,1962,11,4.8247863247863245
23,1962,12,5.31981981981982
24,1963,1,4.315315315315315
25,1963,2,4.648401826484018
26,1963,3,5.363636363636363
27,1963,4,4.295454545454546
28,1963,5,5.908333333333333
29,1963,6,5.820833333333334
30,1963,7,5.657258064516129
31,1963,8,4.907258064516129
32,1963,9,4.533333333333333
33,1963,10,3.734513274336283
34,1963,11,3.3516949152542375
35,1963,12,5.682608695652174
36,1964,1,4.96
37,1964,2,4.977678571428571
38,1964,3,4.078341013824885
39,1964,4,4.655963302752293
40,1964,5,6.020242914979757
41,1964,6,5.704166666666667
42,1964,7,5.854838709677419
43,1964,8,4.647773279352227
44,1964,9,4.857142857142857
45,1964,10,5.380566801619433
46,1964,11,4.965217391304348
47,1964,12,3.9404255319148938
48,1965,1,4.666666666666667
49,1965,2,5.212435233160622
50,1965,3,4.4471544715447155
51,1965,4,4.378260869565217
52,1965,5,3.9433198380566803
53,1965,6,5.383333333333334
54,1965,7,5.383064516129032
55,1965,8,5.657258064516129
56,1965,9,5.99163179916318
57,1965,10,4.6138211382113825
58,1965,11,5.131914893617021
59,1965,12,5.05668016194332
60,1966,1,2.6411290322580645
61,1966,2,4.162162162162162
62,1966,3,4.364016736401673
63,1966,4,3.586497890295359
64,1966,5,4.433198380566802
65,1966,6,4.883333333333334
66,1966,7,7.120967741935484
67,1966,8,4.313008130081301
68,1966,9,5.654166666666667
69,1966,10,6.074380165289257
70,1966,11,5.653333333333333
71,1966,12,4.078602620087336
72,1967,1,6.103305785123967
73,1967,2,5.29126213592233
74,1967,3,3.628691983122363
75,1967,4,4.738938053097345
76,1967,5,5.352459016393443
77,1967,6,6.033333333333333
78,1967,7,4.777327935222672
79,1967,8,5.540322580645161
80,1967,9,4.624472573839663
81,1967,10,4.4655172413793105
82,1967,11,4.533018867924528
83,1967,12,4.154867256637168
84,1968,1,5.638392857142857
85,1968,2,4.130232558139535
86,1968,3,4.475113122171946
87,1968,4,4.559322033898305
88,1968,5,5.104838709677419
89,1968,6,4.9875
90,1968,7,6.245967741935484
91,1968,8,4.864754098360656
92,1968,9,4.3125
93,1968,10,2.778225806451613
94,1968,11,3.6016949152542375
95,1968,12,5.264957264957265
96,1969,1,4.788135593220339
97,1969,2,4.455399061032864
98,1969,3,4.933609958506224
99,1969,4,5.222222222222222
100,1969,5,4.443548387096774
101,1969,6,5.520833333333333
102,1969,7,4.721774193548387
103,1969,8,4.699186991869919
104,1969,9,4.84453781512605
105,1969,10,5.360995850622406
106,1969,11,3.9956521739130433
107,1969,12,4.506172839506172
108,1970,1,4.037037037037037
109,1970,2,4.8669950738916254
110,1970,3,6.101321585903084
111,1970,4,3.9130434782608696
112,1970,5,4.926229508196721
113,1970,6,4.791666666666667
114,1970,7,6.141129032258065
115,1970,8,5.100806451612903
116,1970,9,6.565400843881856
117,1970,10,3.7459016393442623
118,1970,11,4.290748898678414
119,1970,12,4.393013100436681
120,1971,1,4.57201646090535
121,1971,2,3.862559241706161
122,1971,3,5.03781512605042
123,1971,4,4.538116591928251
124,1971,5,5.48582995951417
125,1971,6,5.2125
126,1971,7,5.530364372469635
127,1971,8,5.790322580645161
128,1971,9,5.15546218487395
129,1971,10,4.655737704918033
130,1971,11,4.867256637168142
131,1971,12,3.8912133891213387
132,1972,1,5.044843049327354
133,1972,2,4.114427860696518
134,1972,3,3.9004329004329006
135,1972,4,3.865546218487395
136,1972,5,5.304166666666666
137,1972,6,5.3
138,1972,7,5.048387096774194
139,1972,8,5.096774193548387
140,1972,9,6.189873417721519
141,1972,10,5.2844827586206895
142,1972,11,4.123404255319149
143,1972,12,4.518367346938776
144,1973,1,5.169421487603306
145,1973,2,4.502487562189055
146,1973,3,4.191489361702128
147,1973,4,5.34375
148,1973,5,5.186234817813765
149,1973,6,5.121338912133891
150,1973,7,6.381147540983607
151,1973,8,4.906882591093117
152,1973,9,5.886075949367089
153,1973,10,3.9707112970711296
154,1973,11,5.11353711790393
155,1973,12,5.403846153846154
156,1974,1,4.448717948717949
157,1974,2,3.6666666666666665
158,1974,3,5.482758620689655
159,1974,4,5.129310344827586
160,1974,5,4.621951219512195
161,1974,6,4.474789915966387
162,1974,7,4.853061224489796
163,1974,8,5.266129032258065
164,1974,9,5.673640167364017
165,1974,10,5.991701244813278
166,1974,11,4.463829787234043
167,1974,12,2.5416666666666665
168,1975,1,4.260162601626016
169,1975,2,5.246636771300448
170,1975,3,5.677966101694915
171,1975,4,5.616666666666666
172,1975,5,5.170124481327801
173,1975,6,6.038135593220339
174,1975,7,5.748987854251012
175,1975,8,5.877049180327869
176,1975,9,5.482758620689655
177,1975,10,5.132231404958677
178,1975,11,4.759825327510917
179,1975,12,5.0710382513661205
180,1976,1,4.480769230769231
181,1976,2,4.234146341463415
182,1976,3,4.111111111111111
183,1976,4,4.97948717948718
184,1976,5,4.790123456790123
185,1976,6,5.084745762711864
186,1976,7,5.323144104803493
187,1976,8,5.860082304526749
188,1976,9,5.985294117647059
189,1976,10,4.266666666666667
190,1976,11,4.342105263157895
191,1976,12,4.9451476793248945
192,1977,1,4.675
193,1977,2,4.02262443438914
194,1977,3,5.170833333333333
195,1977,4,4.875
196,1977,5,5.004098360655738
197,1977,6,5.329113924050633
198,1977,7,5.270161290322581
199,1977,8,4.65587044534413
200,1977,9,4.113043478260869
201,1977,10,3.5925925925925926
202,1977,11,5.831050228310502
203,1977,12,4.973684210526316
204,1978,1,4.895734597156398
205,1978,2,4.090909090909091
206,1978,3,4.427947598253275
207,1978,4,5.794871794871795
208,1978,5,4.991666666666666
209,1978,6,5.806034482758621
210,1978,7,5.587755102040816
211,1978,8,6.346774193548387
212,1978,9,5.9375
213,1978,10,5.463963963963964
214,1978,11,4.787330316742081
215,1978,12,5.333333333333333
216,1979,1,4.367965367965368
217,1979,2,5.158653846153846
218,1979,3,3.5497630331753554
219,1979,4,5.890350877192983
220,1979,5,5.381578947368421
221,1979,6,5.616033755274262
222,1979,7,4.463709677419355
223,1979,8,4.794238683127572
224,1979,9,4.9361702127659575
225,1979,10,3.668016194331984
226,1979,11,3.960352422907489
227,1979,12,4.036199095022624
228,1980,1,5.259740259740259
229,1980,2,4.623853211009174
230,1980,3,4.697368421052632
231,1980,4,4.885844748858448
232,1980,5,5.235772357723577
233,1980,6,5.741666666666666
234,1980,7,4.975806451612903
235,1980,8,3.7530364372469633
236,1980,9,4.1625
237,1980,10,5.1138211382113825
238,1980,11,3.981651376146789
239,1980,12,5.195652173913044
240,1981,1,5.899521531100478
241,1981,2,3.727777777777778
242,1981,3,3.658119658119658
243,1981,4,5.340909090909091
244,1981,5,5.971311475409836
245,1981,6,5.4411764705882355
246,1981,7,6.137096774193548
247,1981,8,5.368421052631579
248,1981,9,4.285714285714286
249,1981,10,3.523206751054852
250,1981,11,3.9055793991416308
251,1981,12,4.451476793248945
252,1982,1,4.0256410256410255
253,1982,2,4.171171171171171
254,1982,3,4.178260869565217
255,1982,4,5.336322869955157
256,1982,5,4.910204081632653
257,1982,6,5.220833333333333
258,1982,7,5.820408163265306
259,1982,8,5.903225806451613
260,1982,9,4.606060606060606
261,1982,10,5.008474576271187
262,1982,11,3.8551401869158877
263,1982,12,4.324074074074074
264,1983,1,3.3727272727272726
265,1983,2,5.585492227979275
266,1983,3,4.323529411764706
267,1983,4,4.940366972477064
268,1983,5,5.846153846153846
269,1983,6,6.114893617021276
270,1983,7,6.412955465587045
271,1983,8,6.234817813765182
272,1983,9,6.626050420168068
273,1983,10,5.406113537117904
274,1983,11,5.818181818181818
275,1983,12,4.482142857142857
276,1984,1,4.3534883720930235
277,1984,2,3.1481481481481484
278,1984,3,3.861111111111111
279,1984,4,3.585253456221198
280,1984,5,6.395652173913043
281,1984,6,5.029787234042553
282,1984,7,5.9757085020242915
283,1984,8,6.2594142259414225
284,1984,9,4.483193277310924
285,1984,10,3.5551020408163265
286,1984,11,4.205128205128205
287,1984,12,3.3926940639269407
288,1985,1,5.339130434782609
289,1985,2,4.339534883720931
290,1985,3,4.990338164251208
291,1985,4,4.822085889570552
292,1985,5,5.719178082191781
293,1985,6,5.659574468085107
294,1985,7,4.71078431372549
295,1985,8,4.1387755102040815
296,1985,9,4.7957446808510635
297,1985,10,4.0210970464135025
298,1985,11,3.7522522522522523
299,1985,12,4.490825688073395
300,1986,1,5.281914893617022
301,1986,2,5.586206896551724
302,1986,3,4.093220338983051
303,1986,4,5.727678571428571
304,1986,5,5.903765690376569
305,1986,6,6.119170984455959
306,1986,7,5.336734693877551
307,1986,8,5.18859649122807
308,1986,9,4.76595744680851
309,1986,10,5.129310344827586
