,time,sst_4270,sst_4360,sst_4216,sst_4339,sst_34320,,4270,4360,4216,4339,34320
57,1854-10-01,2.945625126,4.242000187,1.692000061,0.195375006,-1.239777843,,,,,,
58,1854-11-01,1.794250086,4.01411783,0.79900004,-0.659500038,-1.601888961,,,,,,
59,1854-12-01,1.248375069,2.912647219,-0.235500004,-1.363125049,-1.72166676,,,,,,
60,1855-01-01,1.462250054,2.506647205,-0.811000034,-1.432875067,-1.800666756,,,,,,
61,1855-02-01,1.105250064,2.141411872,-1.072250038,-1.426000059,-1.805333416,,,,,,
62,1855-03-01,1.177125044,1.865176554,-0.814750046,-1.594375074,-1.816222323,,,,,,
63,1855-04-01,1.214375053,1.59388241,-0.034,-1.572000071,-1.81300007,,,,,,
64,1855-05-01,1.673875056,2.016294202,0.793750063,-1.419375062,-1.791888979,,,,,,
65,1855-06-01,2.695000142,3.12488247,1.738500088,-0.88512505,-1.729111181,,,,,,
66,1855-07-01,3.946875155,4.511353198,2.786750138,0.685125032,-1.10222229,,,,,,
67,1855-08-01,4.482250154,5.624176685,3.350750148,1.568750098,-0.689111146,,,,,,
68,1855-09-01,3.209625155,4.488647279,2.305750132,0.707500033,-0.84111116,,,,,,
69,1855-10-01,2.220750123,3.765353161,1.669000059,0.212375005,-1.254444506,,,,,,
70,1855-11-01,1.491500065,3.407588426,0.536500022,-0.811000021,-1.600000077,,,,,,
71,1855-12-01,1.138000049,2.870000145,-0.262500018,-1.294125069,-1.720888959,,,,,,
72,1856-01-01,1.198000081,2.743353051,-0.811000034,-1.442000076,-1.808888978,,,,,,
73,1856-02-01,1.110500056,2.375529538,-1.072000057,-1.450625062,-1.816222337,,,,,,
74,1856-03-01,1.187000044,1.909647154,-0.801500037,-1.616500065,-1.827333411,,,,,,
75,1856-04-01,1.38500005,1.934529489,-0.02925,-1.594750091,-1.824000094,,,,,,
76,1856-05-01,1.852500081,2.563647176,0.841000065,-1.457000084,-1.802666757,,,,,,
77,1856-06-01,3.185875177,4.116882507,1.852750093,-0.891500056,-1.729000092,,,,,,
78,1856-07-01,4.256250203,5.064823768,2.950250149,0.666000027,-1.07311117,,,,,,
79,1856-08-01,4.369000167,5.888353179,3.599000156,1.537500083,-0.633111139,,,,,,
80,1856-09-01,4.254125237,5.671000284,3.433000207,0.949875042,-0.82300004,,,,,,
81,1856-10-01,3.05837515,4.390706076,1.754750103,0.394250015,-1.272222281,,,,,,
82,1856-11-01,2.068125099,3.834059028,0.519750029,-0.780375038,-1.608222299,,,,,,
83,1856-12-01,1.486250065,2.75511776,-0.29550001,-1.447625093,-1.731000106,,,,,,
84,1857-01-01,1.540750079,2.770647217,-0.824000031,-1.44887507,-1.810333411,,,,,,
85,1857-02-01,1.088625036,2.053411888,-1.069250047,-1.448375076,-1.818777879,,,,,,
86,1857-03-01,0.926625054,1.488470663,-0.784000024,-1.608500078,-1.827777876,,,,,,
87,1857-04-01,1.108875055,1.57635302,-0.0235,-1.594125077,-1.825000087,,,,,,
88,1857-05-01,1.536500081,2.235411873,0.808500022,-1.461000077,-1.801111195,,,,,,
89,1857-06-01,2.994625121,3.724000173,1.756000072,-0.934250055,-1.737888972,,,,,,
90,1857-07-01,4.316250205,4.780411987,2.829000115,0.327875015,-1.083444496,,,,,,
91,1857-08-01,4.16487518,5.584882652,3.800250232,1.355250075,-0.646777804,,,,,,
92,1857-09-01,3.983375221,4.867588464,3.172750175,0.764750037,-0.73177782,,,,,,
93,1857-10-01,2.634875104,3.7010002,1.67900008,-0.008125001,-1.244000064,,,,,,
94,1857-11-01,1.529000074,3.09894134,0.387750018,-0.896250051,-1.59655563,,,,,,
95,1857-12-01,1.53800007,2.700353061,-0.299000014,-1.464750089,-1.716888971,,,,,,
96,1858-01-01,1.393375061,2.523058951,-0.798500046,-1.432875082,-1.801333414,,,,,,
97,1858-02-01,1.610375069,2.642764847,-1.070500016,-1.442250058,-1.806777888,,,,,,
98,1858-03-01,1.207000066,1.717117728,-0.809750035,-1.602875091,-1.816444543,,,,,,
99,1858-04-01,1.41587507,1.659235395,-0.033,-1.563500069,-1.811444521,,,,,,
100,1858-05-01,1.937500119,2.200117763,0.807250023,-1.428125061,-1.79033343,,,,,,
101,1858-06-01,3.058500081,3.629000138,1.726500064,-0.875250047,-1.726777871,,,,,,
102,1858-07-01,4.324875146,5.024294362,3.131500125,0.524875019,-1.074777828,,,,,,
103,1858-08-01,4.607250184,5.926529716,3.966500103,1.877750084,-0.549888923,,,,,,
104,1858-09-01,3.131875157,4.518823708,2.798750043,1.101500064,-0.689777809,,,,,,
105,1858-10-01,2.568000093,3.882117832,1.537750065,0.226250014,-1.242555605,,,,,,
106,1858-11-01,1.769500092,3.358941331,0.649750039,-0.771000041,-1.592444486,,,,,,
107,1858-12-01,1.361875061,2.648470745,-0.265750006,-1.366750062,-1.713555641,,,,,,
108,1859-01-01,1.18675003,2.554058959,-0.80050005,-1.428250067,-1.794111199,,,,,,
109,1859-02-01,1.46412506,2.483058966,-1.064250022,-1.422000051,-1.802888989,,,,,,
110,1859-03-01,1.416125067,1.985117725,-0.816500053,-1.597125091,-1.812333425,,,,,,
111,1859-04-01,1.380125098,1.743588334,-0.044250003,-1.570875078,-1.810888966,,,,,,
112,1859-05-01,1.77250006,2.255411876,0.770000026,-1.435875051,-1.791111204,,,,,,
113,1859-06-01,2.804375172,3.363941319,1.392000049,-0.886750061,-1.730222291,,,,,,
114,1859-07-01,4.196750224,4.789117841,2.610750139,0.558875026,-1.072777828,,,,,,
115,1859-08-01,4.257625192,5.846882596,3.672500193,1.568000063,-0.548555575,,,,,,
116,1859-09-01,3.914000124,5.154412031,3.164750218,1.090000041,-0.674222254,,,,,,
117,1859-10-01,3.02437517,4.249117837,1.629500091,0.375125014,-1.250555608,,,,,,
