,year,month,cloud_mean(index)
217,1989,6,6.154166667
218,1989,7,6.491935484
219,1989,8,6.092741935
220,1989,9,5.508333333
221,1989,10,4.572580645
222,1989,11,5.283333333
223,1989,12,5.633064516
224,1990,1,4.810483871
225,1990,2,4.5625
226,1990,3,4.108870968
227,1990,4,4.754166667
228,1990,5,5.834677419
229,1990,6,5.570833333
230,1990,7,4.915322581
231,1990,8,5.294354839
232,1990,9,5.704166667
233,1990,10,5.399193548
234,1990,11,5.95
235,1990,12,5.245967742
236,1991,1,5.443548387
237,1991,2,5.78125
238,1991,3,4.157258065
239,1991,4,4.820833333
240,1991,5,6.455645161
241,1991,6,4.316666667
242,1991,7,4.97983871
243,1991,8,5.572580645
244,1991,9,5.258333333
245,1991,10,4.108870968
246,1991,11,4.304166667
247,1991,12,5.495967742
248,1992,1,5.693548387
249,1992,2,4.38362069
250,1992,3,6.113821138
251,1992,4,5.1
252,1992,5,5.303643725
253,1992,6,5.020833333
254,1992,7,3.612903226
255,1992,8,4.608870968
256,1992,9,4.116666667
257,1992,10,5.255060729
258,1992,11,4.545833333
259,1992,12,4.044534413
260,1993,1,3.834677419
261,1993,2,5.651785714
262,1993,3,5.012145749
263,1993,4,5.472803347
264,1993,5,5.112903226
265,1993,6,4.9125
266,1993,7,4.329218107
267,1993,8,6.183333333
268,1993,9,6.154166667
269,1993,10,5.580645161
270,1993,11,4.166666667
271,1993,12,4.504032258
272,1994,1,5.113821138
273,1994,2,4.434977578
274,1994,3,4.768595041
275,1994,4,4.945378151
276,1994,5,5.375
277,1994,6,5.80334728
278,1994,7,5.161290323
279,1994,8,5.991869919
280,1994,9,4.707112971
281,1994,10,5.092741935
282,1994,11,4.62605042
283,1994,12,2.479674797
284,1995,1,3.825910931
285,1995,2,5.339285714
286,1995,3,3.861788618
287,1995,4,4.962025316
288,1995,5,4.657258065
289,1995,6,6.631799163
290,1995,7,4.930894309
291,1995,8,5.808943089
292,1995,9,6.683333333
293,1995,10,3.883064516
294,1995,11,5.634453782
295,1995,12,3.955102041
296,1996,1,5.318367347
297,1996,2,5.586206897
298,1996,3,5.425531915
299,1996,4,4.080851064
300,1996,5,5.327935223
301,1996,6,5.304166667
302,1996,7,5.278225806
303,1996,8,6.219008264
304,1996,9,5.714893617
305,1996,10,3.54893617
306,1996,11,3.705357143
307,1996,12,4.247706422
308,1997,1,5.342975207
309,1997,2,4.18018018
310,1997,3,4.638211382
311,1997,4,5.054852321
312,1997,5,5.459349593
313,1997,6,5.89787234
314,1997,7,5.118367347
315,1997,8,4.653225806
316,1997,9,5.941666667
317,1997,10,5.117886179
318,1997,11,4.2875
319,1997,12,5.258064516
320,1998,1,5.22983871
321,1998,2,4.334821429
322,1998,3,4.883064516
323,1998,4,4.890756303
324,1998,5,4.963709677
325,1998,6,4.75
326,1998,7,6.004032258
327,1998,8,5.704453441
328,1998,9,4.661087866
329,1998,10,4.408906883
330,1998,11,3.945606695
331,1998,12,5.37804878
332,1999,1,4.737903226
333,1999,2,4.66367713
334,1999,3,4.237903226
335,1999,4,5.15
336,1999,5,5.254032258
337,1999,6,5.690376569
338,1999,7,5.455645161
339,1999,8,6.306451613
340,1999,9,4.205020921
341,1999,10,5.548387097
342,1999,11,5.279166667
343,1999,12,4.305676856
344,2000,1,6.018691589
345,2000,2,4.770642202
346,2000,3,5.147186147
347,2000,4,6.688073394
348,2000,5,4.873417722
349,2000,6,4.716157205
350,2000,7,6.225
351,2000,8,5.3625
352,2000,9,6.210084034
353,2000,10,4.469135802
354,2000,11,3.935897436
355,2000,12,3.533613445
356,2001,1,5.933333333
357,2001,2,5.401913876
358,2001,3,2.757322176
359,2001,4,5.992957746
360,2001,5,5.332129964
361,2001,6,6.639846743
362,2001,7,5.239382239
363,2001,8,5.915750916
364,2001,9,6.647058824
365,2001,10,6.141447368
366,2001,11,6.541420118
367,2001,12,6.040133779
368,2002,1,6.792284866
369,2002,2,5.448028674
370,2002,3,5.427672956
371,2002,4,5.107266436
372,2002,5,5.881118881
373,2002,6,6.040983607
374,2002,7,5.847107438
375,2002,8,5.358778626
376,2002,9,6.293478261
377,2002,10,4.496124031
378,2002,11,5.830827068
379,2002,12,6.46835443
380,2003,1,6.711598746
381,2003,2,5.151291513
382,2003,3,6.12987013
383,2003,4,6.139072848
384,2003,5,5.373188406
385,2003,6,5.183206107
386,2003,7,4.682352941
387,2003,8,5.424
388,2003,9,6.330769231
389,2003,10,6.629392971
390,2003,11,5.416382253
391,2003,12,6.479041916
392,2004,1,6.293333333
393,2004,2,7.159744409
394,2004,3,6.52733119
395,2004,4,6.244755245
396,2004,5,6.282758621
397,2004,6,5.154411765
398,2004,7,6.585023401
399,2004,8,5.768518519
400,2004,9,5.462546816
401,2004,10,5.131313131
402,2004,11,6.035447761
403,2004,12,6.074285714
404,2005,1,5.756097561
405,2005,2,5.836363636
406,2005,3,5.340163934
407,2005,4,5.2
408,2005,5,5.829166667
409,2005,6,5.688034188
410,2005,7,5.514285714
411,2005,8,6.004424779
412,2005,9,4.341772152
413,2005,10,3.25203252
414,2005,11,5.531914894
415,2005,12,5.611570248
416,2006,1,4.875518672
417,2006,2,4.742857143
418,2006,3,4.135021097
419,2006,4,4.848484848
420,2006,5,4.319672131
421,2006,6,4.844155844
422,2006,7,4.958847737
423,2006,8,6.272727273
424,2006,9,5.016949153
425,2006,10,3.525210084
426,2006,11,4.804255319
427,2006,12,5.175510204
428,2007,1,4.975409836
429,2007,2,5.380090498
430,2007,3,3.868644068
431,2007,4,4.108108108
432,2007,5,4.528225806
433,2007,6,5.059574468
434,2007,7,5.858333333
435,2007,8,6.248888889
436,2007,9,5.495726496
437,2007,10,4.12033195
438,2007,11,6.004219409
439,2007,12,4.154166667
440,2008,1,3.909482759
441,2008,2,5.247663551
442,2008,3,6.404166667
443,2008,4,5.701298701
